,centrality,closeness,betweenness,current flow closeness,current flow betweenness,eigenvector,exclusive editors
B-spline,0.990066225166,0.990163934426,0.00018477303945,3.68356183443,0.00388234568005,0.040507805618,76
Burmester's theory,0.811258278146,0.841225626741,0.101516784032,1.1682457905,0.000768942690424,0.00589482900469,11
Cavalieri's principle,0.976821192053,0.977346278317,0.00012473250768,2.88086309783,0.00235422369128,0.0226088251809,30
Central angle,0.980132450331,0.980519480519,1.76221104678e-05,3.38530174456,0.00303573603701,0.0334936138631,48
Chirality (mathematics),0.990066225166,0.990163934426,2.66777722562e-05,3.67295876478,0.00390942355722,0.0380123660547,47
Circle,1.0,1.0,2.85447384752e-05,5.04715885888,0.0104281894778,0.157634816801,554
Circumscribed circle,0.990066225166,0.990163934426,0.000293883912719,4.06942582218,0.00486779372401,0.0569692605119,89
Compass-and-straightedge construction,0.993377483444,0.993421052632,3.38299345531e-05,4.44130764271,0.00627166676668,0.0767200626248,161
Complex geometry,0.996688741722,0.996699669967,0.000138455630203,3.62475397093,0.0039470105184,0.0365586530553,45
Complex projective plane,0.970198675497,0.971061093248,0.00110375191141,2.42207591962,0.00195245448732,0.0151004364059,15
Computational geometry,0.993377483444,0.993421052632,0.000106678382545,3.73876549446,0.00395408542833,0.0407838353449,71
Computer graphics,0.980132450331,0.980519480519,0.0014700122234,3.83783910613,0.0039428770644,0.0545845428122,146
Concurrent lines,0.986754966887,0.986928104575,0.000750319540378,3.07892983149,0.0027990555637,0.0264469442896,34
Concyclic points,0.983443708609,0.983713355049,0.000224857093497,2.97447261483,0.00272875713067,0.0235515397371,30
Cone,0.993377483444,0.993421052632,3.06619253609e-05,4.56635199567,0.00667139047337,0.0895134942145,177
Conformal geometry,0.986754966887,0.986928104575,6.06164225111e-05,3.79184762298,0.00423315872492,0.0411981016786,52
Congruence (geometry),0.996688741722,0.996699669967,0.000129070968381,4.30520503101,0.00554864746616,0.0710670256443,151
Conic section,1.0,1.0,0.000115250093032,4.73289966782,0.00786335050915,0.102410965349,228
Constructive solid geometry,0.983443708609,0.983713355049,0.00013910465244,3.39596981484,0.00314812749518,0.0330709381192,59
Contact geometry,0.986754966887,0.986928104575,0.000303314324885,3.55277836308,0.00364906134349,0.0354524266137,53
Convex geometry,0.980132450331,0.980519480519,0.000691567628173,2.66150438331,0.00216686171729,0.0185183201311,23
Convex hull,0.996688741722,0.996699669967,1.62889559991e-05,4.02745123618,0.00498923191719,0.0503352153208,91
Convex uniform honeycomb,0.980132450331,0.980519480519,0.000783010751817,3.41965131887,0.00326559280363,0.0333514991304,53
Coordinate-free,0.933774834437,0.937888198758,0.0320959167857,1.66273857635,0.00119509265513,0.00915694892443,9
Coordinate rotations and reflections,0.970198675497,0.971061093248,0.0057207860094,2.72345601994,0.00226581174281,0.020930731229,20
Coxeter group,0.990066225166,0.990163934426,8.92590377362e-05,3.82699723438,0.00434967845188,0.0420007670216,61
Cross-ratio,0.993377483444,0.993421052632,2.07248178829e-05,3.9165430897,0.0045252546281,0.0458378752296,54
Cross section (geometry),0.993377483444,0.993421052632,8.93282266571e-05,3.59256693301,0.00375050109365,0.0372149304876,52
Crystal,0.983443708609,0.983713355049,4.04125979273e-05,4.60007481544,0.00650456539482,0.109411394919,393
Crystal system,0.986754966887,0.986928104575,7.77524452334e-06,3.85321508975,0.00419662126995,0.0458551279772,74
Cuisenaire rods,0.983443708609,0.983713355049,0.000406006805037,2.97934615937,0.00245006548127,0.0255636378034,44
Curve of constant width,0.986754966887,0.986928104575,0.000226847741241,3.32838707314,0.00303720372991,0.0309270891942,43
Cyclic quadrilateral,0.986754966887,0.986928104575,0.000106325897601,3.94821504311,0.00456791135932,0.0501325860714,71
Dandelin spheres,0.983443708609,0.983713355049,0.000334769186193,2.92656120949,0.00246457148853,0.0224981364836,27
Delaunay triangulation,0.993377483444,0.993421052632,4.63140518151e-05,3.96843732382,0.00464586170183,0.0486534379427,83
Deltahedron,0.990066225166,0.990163934426,6.22304994566e-05,3.60665006464,0.00366047729776,0.03739938944,50
Desargues' theorem,0.990066225166,0.990163934426,1.55295956642e-05,3.95898663137,0.00461252124164,0.0477493181816,61
Descriptive geometry,0.983443708609,0.983713355049,7.14193060118e-05,3.41665523897,0.00312902021182,0.0338395415885,49
Differential geometry,0.996688741722,0.996699669967,3.61399872131e-05,4.41734133484,0.00628931399168,0.072291149324,138
Digital geometry,0.983443708609,0.983713355049,3.99009055875e-05,3.19648091617,0.0029336745238,0.0269989545366,40
Dihedral angle,0.983443708609,0.983713355049,0.000259085348849,3.40429340976,0.00312232340203,0.0338428728917,55
Discrete geometry,0.993377483444,0.993421052632,3.03015301737e-05,3.82336584522,0.00432202772317,0.0427099250892,55
Dissection problem,0.976821192053,0.977346278317,0.00370073234213,2.10877031115,0.00160075439925,0.0117236917677,14
Distance geometry,0.996688741722,0.996699669967,0.000123334612778,3.49123194421,0.00366376627388,0.0333868360403,31
Dividing a circle into areas,0.973509933775,0.974193548387,0.00113892889928,2.5547505829,0.00208267679771,0.0177896369987,28
Duality (projective geometry),0.993377483444,0.993421052632,3.57101150557e-05,3.68257170453,0.00399641343564,0.0379148648992,35
Eccentricity (mathematics),0.990066225166,0.990163934426,0.000114470298239,3.71597366745,0.00363717590059,0.0432498820884,77
Ehrhart polynomial,0.993377483444,0.993421052632,8.79670815332e-05,3.40238112184,0.00343366881792,0.0303072368172,32
Ellipse,1.0,1.0,2.85447384752e-05,4.86386855752,0.00895759581375,0.117321263541,343
Ellipsoid,0.993377483444,0.993421052632,7.34830775622e-05,4.2079235428,0.00518104844254,0.0613255306952,104
Elliptic geometry,0.983443708609,0.983713355049,0.000240572343034,3.59237354226,0.00352120153274,0.0382479359609,61
Enumerative geometry,0.986754966887,0.986928104575,0.000186135004401,3.00398767826,0.00280650510252,0.0226831849905,21
Epipolar geometry,0.983443708609,0.983713355049,0.00185917872772,2.45196019778,0.00182302204541,0.0171055215427,23
Equidiagonal quadrilateral,0.778145695364,0.818428184282,0.080444696054,1.23244232762,0.000990814746582,0.00609700235136,6
Equilateral triangle,0.993377483444,0.993421052632,0.000123946594193,4.3253818253,0.00583293828089,0.0705827079663,123
Erlangen program,0.986754966887,0.986928104575,8.66072731416e-05,3.68043181116,0.00380879635598,0.039062531769,60
Euclidean distance,0.996688741722,0.996699669967,8.63925149928e-05,3.85416260136,0.00428843469276,0.0472712098863,71
Euclidean geometry,1.0,1.0,2.85447384752e-05,4.76182549977,0.00804374951567,0.107783621923,268
Euclidean shortest path,0.894039735099,0.904191616766,0.058298835551,1.52111597163,0.00108841964238,0.00807290579943,13
Euler line,0.980132450331,0.980519480519,9.91314632224e-05,3.8258450094,0.00415469388333,0.0466616142521,70
Finite geometry,0.996688741722,0.996699669967,9.42588318021e-05,3.76603664257,0.00416788731358,0.040479498814,52
Focus (geometry),0.976821192053,0.977346278317,0.00104972421195,2.9852414326,0.00247529830969,0.0262116042291,41
Four-dimensional space,1.0,1.0,0.000103621503611,4.73139944757,0.00773132688584,0.10575096758,277
Fractal,1.0,1.0,9.12989481642e-05,4.89887490125,0.00896689234995,0.1321065376,439
Frieze group,0.993377483444,0.993421052632,6.02591399676e-05,3.59254103397,0.00368282357305,0.0365526398432,41
Geometric shape,0.880794701987,0.89349112426,0.034427495233,1.64658984243,0.00105456489707,0.0102662651559,13
Geometrization conjecture,0.983443708609,0.983713355049,2.58494341737e-06,3.71414066076,0.00403168637483,0.0391143350005,59
Geometry,0.996688741722,0.996699669967,0.0,4.92197995748,0.00902424510202,0.139994444792,419
Geometry of numbers,0.990066225166,0.990163934426,0.00016846548522,3.518436804,0.00361726400468,0.0327913092117,37
Girard Desargues,0.990066225166,0.990163934426,3.88058390776e-06,3.86428220107,0.00432309793167,0.0444038445256,53
Glide reflection,0.990066225166,0.990163934426,0.00019723121277,3.33962739653,0.00314412528832,0.0300031658677,29
Golden angle,0.990066225166,0.990163934426,8.7548730046e-05,3.58110368261,0.00360886129703,0.0367866714612,48
Graham scan,0.986754966887,0.986928104575,0.000279221188048,3.35835001771,0.00312282118435,0.0314038296287,39
Group action,0.993377483444,0.993421052632,1.59483900597e-05,4.33740016491,0.00603502726785,0.0658179520096,121
Hadwiger's theorem,0.986754966887,0.986928104575,0.000779414271818,2.49092887362,0.0019955046444,0.0161813821601,13
Handedness,0.996688741722,0.996699669967,9.00101664755e-05,4.29844474065,0.00566038069338,0.0705286824763,212
Hermite spline,0.437086092715,0.639830508475,0.0717876040055,0.617801676233,0.00039006489375,0.00313220229766,9
Heronian tetrahedron,0.950331125828,0.952681388013,0.00830272499786,1.84796271068,0.0012676023316,0.0100708441697,12
Heronian triangle,0.990066225166,0.990163934426,6.84142227505e-06,3.64214501795,0.00389862836075,0.0369898791285,44
Heron's formula,0.990066225166,0.990163934426,7.66218886907e-06,4.31582877344,0.00561715677214,0.0710118551,142
Hidden line removal,0.960264900662,0.96178343949,0.00392542905147,2.10145070042,0.00142440091891,0.0131853022956,16
Hilbert's axioms,0.986754966887,0.986928104575,5.88475061802e-05,3.52520818024,0.00334847527496,0.0359624776485,57
Hilbert's third problem,0.990066225166,0.990163934426,3.7232972033e-05,3.39634837765,0.00330946333779,0.0310082979479,42
Holditch's theorem,0.986754966887,0.986928104575,0.000170579911645,2.85490531387,0.00241429642139,0.0215388224248,21
Homogeneous coordinates,1.0,1.0,0.000122674262971,4.01061202688,0.0049779076842,0.0486663901286,60
Homography,0.990066225166,0.990163934426,0.00023774276403,3.32170602116,0.00318666323153,0.030881513078,48
Homothetic center,0.986754966887,0.986928104575,0.000524484736219,2.39661914734,0.00187585433289,0.0156865676559,19
Homothetic transformation,1.0,1.0,0.000378287459502,3.83643363634,0.00439125508421,0.0430962526527,68
Honeycomb (geometry),0.976821192053,0.977346278317,0.000209621739716,2.97069835921,0.00258997893477,0.0236236827475,43
Hyperbola,0.996688741722,0.996699669967,4.96915806752e-05,4.60545208058,0.00706245419978,0.0900591686484,196
Hyperbolic geometry,0.990066225166,0.990163934426,0.0,4.44510832705,0.00640622472127,0.0732737792584,159
Hyperboloid,0.996688741722,0.996699669967,5.23642129454e-05,3.88860171774,0.004457710048,0.0457752217912,64
Hyperplane,0.996688741722,0.996699669967,1.30626290138e-05,4.02553547023,0.00485975903552,0.0498768277822,72
Hyperplane at infinity,0.860927152318,0.877906976744,0.0480894201486,1.60899829418,0.00108798812985,0.00885060210867,12
Image analysis,0.980132450331,0.980519480519,0.000543227536112,2.95913627097,0.00241549401154,0.0255308295652,44
Incidence geometry,0.986754966887,0.986928104575,0.000238841189069,2.82437760626,0.00238580507503,0.0214525206405,24
Incidence (geometry),0.966887417219,0.967948717949,0.000973019051624,2.74279645399,0.00229345406665,0.0198192597288,26
Incircle and excircles of a triangle,0.993377483444,0.993421052632,8.91528791389e-05,3.98611685961,0.00467405750468,0.0517034594321,82
Infinitesimal transformation,0.973509933775,0.974193548387,0.00203750734885,2.40746789927,0.00195483997466,0.015483963946,20
Information geometry,0.990066225166,0.990163934426,6.92959049001e-05,3.1373282628,0.00283364331727,0.0261877482913,36
Inscribed angle,0.993377483444,0.993421052632,1.75409785539e-05,4.03711000586,0.00482764841021,0.0525354542277,71
Integer triangle,0.953642384106,0.955696202532,0.0061160707927,1.99009425835,0.00160485313234,0.0117805580079,16
Integral geometry,0.980132450331,0.980519480519,0.00166206296062,2.41605424665,0.00187056334805,0.0162986719247,18
Internal and external angle,0.993377483444,0.993421052632,4.22444567199e-05,3.90421338006,0.00434855356296,0.0492052402167,70
Invariant (mathematics),0.990066225166,0.990163934426,6.98365800235e-05,3.61394203577,0.00359519987806,0.0372781302884,46
Inversive geometry,0.990066225166,0.990163934426,2.56195547553e-05,4.20978058135,0.00550181112897,0.0583246179504,89
Isometry,0.980132450331,0.980519480519,2.3218471098e-05,3.88284425147,0.00426324991551,0.0464369642038,65
Isoperimetric inequality,0.996688741722,0.996699669967,0.000141017636662,3.82177874901,0.00438651108214,0.0424921001839,67
Isosceles trapezoid,0.986754966887,0.986928104575,0.000619536429794,3.73447262856,0.00371172316069,0.0470046624916,79
Isosceles triangle,0.903973509934,0.912386706949,0.0304990907847,2.06512902925,0.00151462249584,0.014666496102,22
Johnson solid,0.983443708609,0.983713355049,6.6195407338e-05,3.77489122394,0.00399598279135,0.0433193390029,73
Kepler conjecture,0.993377483444,0.993421052632,0.000195650172317,3.78541857122,0.00404043060722,0.0434877366105,83
Kepler–Poinsot polyhedron,0.986754966887,0.986928104575,9.38363045199e-05,3.89329517724,0.00440087239995,0.0463111350428,80
Kissing number problem,0.993377483444,0.993421052632,4.77322032696e-05,3.79578821333,0.00433841017854,0.0407135621147,58
Kite (geometry),0.986754966887,0.986928104575,1.62716744468e-05,4.19771743635,0.00513430984288,0.0645359340435,126
Klein geometry,0.96357615894,0.964856230032,0.00424479994421,2.14950332308,0.00155825147456,0.0129870767087,16
Lattice (group),0.993377483444,0.993421052632,2.56452214072e-05,3.84305437436,0.00427156497785,0.043337446253,59
Leech lattice,0.990066225166,0.990163934426,1.57074223742e-05,3.39116130226,0.00336823639058,0.0304903763967,40
Lie sphere geometry,0.920529801325,0.926380368098,0.0218755936841,2.13656800179,0.0015428224168,0.0143290556112,25
Line at infinity,0.973509933775,0.974193548387,0.00065457818332,2.82805088237,0.00229934398169,0.0218579542802,33
Line (geometry),0.993377483444,0.993421052632,2.54466209602e-05,4.59721752311,0.00689763845035,0.093710840904,217
List of circle topics,0.983443708609,0.983713355049,0.00023444713043,3.12853672252,0.00286292210283,0.0278139515935,45
List of interactive geometry software,0.983443708609,0.983713355049,0.000123223350775,3.39962731897,0.00315437462241,0.0344219593957,73
List of triangle inequalities,0.940397350993,0.94375,0.0375297757645,1.48546013255,0.00108194334177,0.00735733298861,5
List of triangle topics,0.986754966887,0.986928104575,0.000174822126113,3.03108495012,0.00282131280206,0.0247491481996,32
List of trigonometry topics,0.950331125828,0.952681388013,0.00189391788987,2.28137163162,0.00163334676102,0.0152121619016,24
Locus (mathematics),0.996688741722,0.996699669967,0.000136370299529,4.10684863154,0.00494799777456,0.0573794255739,85
Mathematical morphology,0.983443708609,0.983713355049,0.000186323143109,3.26305745053,0.00288606333574,0.0307576568489,55
Mathematics,0.996688741722,0.996699669967,0.0,5.11953387766,0.0112775513466,0.177198762561,833
Mathematics and fiber arts,0.986754966887,0.986928104575,0.000593475466923,2.90392953626,0.00254511333369,0.022518526752,28
Matrix representation of conic sections,0.983443708609,0.983713355049,0.000124689911512,3.12320379197,0.00283216942328,0.0260987163603,37
Minkowski addition,0.990066225166,0.990163934426,0.000189545134064,3.66659263273,0.00394164043435,0.0370640173215,48
Minkowski space,0.996688741722,0.996699669967,4.21783760828e-05,4.20628537353,0.00533785681162,0.0603748554391,127
Minkowski's theorem,0.986754966887,0.986928104575,0.000126662436473,3.36053717217,0.00324359786004,0.0304766004664,35
Mirror image,0.986754966887,0.986928104575,2.20666014548e-05,3.83536513433,0.00404768758327,0.0463405869912,83
Möbius transformation,0.993377483444,0.993421052632,4.18813581959e-05,4.2185669899,0.00559011531744,0.0586709228393,117
Monge's theorem,0.976821192053,0.977346278317,0.000967555511032,2.6453835425,0.0020352862884,0.0191215381988,21
Mrs. Miniver's problem,0.986754966887,0.986928104575,0.000845022595651,2.51285031798,0.00197597029239,0.0166131057711,18
Napkin ring problem,0.933774834437,0.937888198758,0.0062981104574,1.75732081903,0.00118633362223,0.00958059451238,13
Nine-point circle,0.990066225166,0.990163934426,5.5918343736e-05,3.980442334,0.00469073877723,0.051977207224,92
Noncommutative geometry,0.993377483444,0.993421052632,9.55563227185e-05,3.69536336391,0.00406580562072,0.0387117214301,66
Non-Euclidean geometry,0.996688741722,0.996699669967,1.81336425498e-05,4.64314626857,0.00728242621558,0.0927552011697,201
Non-uniform rational B-spline,0.990066225166,0.990163934426,0.000289276334686,3.56929524467,0.00355286096869,0.0381479010472,88
Normal (geometry),0.983443708609,0.983713355049,0.000156441497794,3.89038804487,0.00416092429954,0.0483747476353,71
N-sphere,0.996688741722,0.996699669967,8.39817944635e-05,4.10191096513,0.00498375911285,0.0563763723265,113
Ordered geometry,0.986754966887,0.986928104575,0.00155584810337,2.57934508096,0.00208105281587,0.0179182138894,18
Orthocentric system,0.990066225166,0.990163934426,4.36556600101e-05,3.23811006431,0.00310742927553,0.0289301350133,31
Orthodiagonal quadrilateral,0.970198675497,0.971061093248,0.00624960336055,2.25660104515,0.00184233840245,0.0145476798982,12
Oval (projective plane),0.980132450331,0.980519480519,0.00060513368112,2.69292581972,0.0022861398852,0.0195458671305,23
Pappus's centroid theorem,0.980132450331,0.980519480519,3.11841984569e-05,3.26960043545,0.00294108651588,0.0298014600597,41
Pappus's hexagon theorem,0.983443708609,0.983713355049,0.0,3.70946312892,0.00394545008208,0.0392529210869,47
Parabola,0.996688741722,0.996699669967,1.30626290138e-05,4.86991089771,0.00866618032179,0.12411067558,341
Parabolic geometry (differential geometry),0.37417218543,0.615071283096,0.0841922742785,0.403243228609,0.000241424000601,0.00193282136872,3
Parabolic microphone,0.950331125828,0.952681388013,0.00843177641135,2.0667619753,0.00137261588271,0.0133464315923,24
Parabolic reflector,0.993377483444,0.993421052632,0.000241965130572,3.39131107364,0.00315162252293,0.0342534852566,74
Paraboloid,0.993377483444,0.993421052632,2.19445099233e-05,3.94362886391,0.00444860877595,0.0487373383047,85
Parallelepiped,0.990066225166,0.990163934426,0.000112417987854,4.07649703498,0.00478998108479,0.0548806210252,84
Parallel (geometry),0.993377483444,0.993421052632,4.96915806752e-05,4.26774404777,0.00539672225889,0.0697982081709,134
Parallelogram law,0.993377483444,0.993421052632,0.000412420202985,3.40183541755,0.00309857051928,0.033157153814,46
Parallel postulate,1.0,1.0,6.29673370241e-05,4.28355399703,0.00558443939364,0.0668231526801,111
Parametric equation,0.993377483444,0.993421052632,0.000111939342354,3.93370481174,0.00430099756962,0.0510139084044,88
Parametric surface,0.966887417219,0.967948717949,0.000518227486151,2.5184266305,0.00192175986948,0.0172050038943,24
Pascal's theorem,0.993377483444,0.993421052632,1.62889559991e-05,4.19146569822,0.00553299451714,0.0565110602239,74
Pattern,0.990066225166,0.990163934426,2.78119948726e-05,4.28897778902,0.00530893553984,0.070955516275,160
Pedal triangle,0.966887417219,0.967948717949,0.00244888771017,2.57786386399,0.0019524459654,0.0186734532739,25
Pedoe's inequality,0.980132450331,0.980519480519,4.57290117131e-05,3.1872994813,0.00287685617735,0.0267479623838,25
Penrose tiling,0.993377483444,0.993421052632,4.57652686094e-05,4.29792627829,0.00577380067133,0.0651358616677,137
Pi,1.0,1.0,0.0,5.19322573694,0.0125776287904,0.185675045539,913
Pick's theorem,0.986754966887,0.986928104575,8.4232236084e-05,3.80340339339,0.0040767612777,0.0444909329627,68
Plane at infinity,0.966887417219,0.967948717949,0.0029036248704,2.34671208471,0.00184203249139,0.0149828485278,15
Platonic solid,0.993377483444,0.993421052632,2.56452214072e-05,4.79820652601,0.00821234166577,0.112247331998,275
Point at infinity,0.970198675497,0.971061093248,0.000262984926227,3.07119955216,0.00265201289608,0.0259597505617,40
Point (geometry),0.986754966887,0.986928104575,3.97785598525e-06,4.47748015215,0.00617325920445,0.0820207904756,144
Point group,0.980132450331,0.980519480519,6.22993547594e-05,2.95049832616,0.00256326709502,0.0225428418182,42
Point groups in three dimensions,0.980132450331,0.980519480519,9.44518046219e-05,3.4603472773,0.00347174728768,0.0331614791167,50
Point groups in two dimensions,0.986754966887,0.986928104575,0.00181061301727,2.52308914434,0.0020746628221,0.0169566694958,19
Point in polygon,0.986754966887,0.986928104575,8.64837122114e-05,3.13491893151,0.00282146112128,0.0265718400137,37
Point location,0.993377483444,0.993421052632,0.000134420253338,3.31704367713,0.00320897673344,0.0294817472872,30
Polar sine,0.917218543046,0.923547400612,0.036609174496,1.46430008385,0.000960023124326,0.0078397566217,8
Polygon,0.996688741722,0.996699669967,2.85447384752e-05,4.86308465592,0.0087869849044,0.119912780803,295
Polygon triangulation,0.990066225166,0.990163934426,3.88058390776e-06,3.7671503862,0.00422705083166,0.0397364756903,46
Polyhedron,0.996688741722,0.996699669967,4.96915806752e-05,4.78385613806,0.0082425316924,0.107246604661,247
Polytope,0.993377483444,0.993421052632,9.04351792894e-06,4.04228687649,0.00485246372337,0.051733721761,102
Polytope compound,0.980132450331,0.980519480519,0.000450428491732,3.19297596636,0.00290126109358,0.0282509353513,42
Poncelet–Steiner theorem,0.990066225166,0.990163934426,5.07697342177e-05,3.21092452696,0.0030062094479,0.026468589546,23
Pons asinorum,0.990066225166,0.990163934426,0.000120709608786,3.16513664049,0.00278835697734,0.0276310321727,42
Power center (geometry),0.990066225166,0.990163934426,0.000608483092812,2.7849335716,0.0024861317206,0.0196249451341,21
Prismatoid,0.980132450331,0.980519480519,0.00210736494133,2.84402253092,0.00232003196017,0.0228578121611,34
Prism (geometry),0.986754966887,0.986928104575,0.000306606825493,4.283690268,0.00540760499412,0.0707352682401,120
Projective geometry,0.996688741722,0.996699669967,1.81336425498e-05,4.39121115251,0.00628171994373,0.0676874607474,98
Projective line,0.993377483444,0.993421052632,0.000110081281915,3.36669899807,0.00336526876328,0.0302080439246,35
Projective line over a ring,0.986754966887,0.986928104575,0.000241389174793,3.20400321269,0.00308525641635,0.0269387488563,29
Projective plane,0.993377483444,0.993421052632,1.86782493874e-05,3.98737433598,0.00479494447418,0.0497684225206,78
Projective space,0.993377483444,0.993421052632,0.0,4.09014039791,0.00514840334828,0.0528072230126,89
Prototile,0.983443708609,0.983713355049,0.000696439745111,2.596017516,0.00223986850726,0.017577262311,17
Pseudosphere,0.990066225166,0.990163934426,0.0,3.57100006545,0.00368199367377,0.0358267174875,54
Ptolemy's theorem,0.990066225166,0.990163934426,1.89348559203e-05,3.90007143803,0.00436255071581,0.0465582678391,80
Pyramid (geometry),0.983443708609,0.983713355049,0.000537108125514,4.09863918619,0.00468984463263,0.0605307898268,107
Pythagorean theorem,1.0,1.0,0.0,5.14023931534,0.0117132521936,0.174874294258,617
Pythagorean triple,0.993377483444,0.993421052632,1.75409785539e-05,4.57986168723,0.00693766176134,0.0895723247326,208
Quadric,0.996688741722,0.996699669967,8.05348263475e-05,3.83213927735,0.00437691319233,0.0441084690798,71
Quadrilateral,0.993377483444,0.993421052632,4.77575284735e-05,4.7500028236,0.00784078793446,0.11108838401,248
Quantum geometry,0.986754966887,0.986928104575,2.76816795827e-05,2.82274870075,0.00248354617621,0.0204599120272,26
Quasicrystal,0.996688741722,0.996699669967,3.52277720149e-05,4.1248410519,0.00514466442934,0.0565570959385,126
Ray tracing (graphics),0.986754966887,0.986928104575,0.000114730352152,3.94473880729,0.00439681456097,0.0520130226602,129
Rectangle,0.993377483444,0.993421052632,9.51934013778e-05,4.66443614257,0.00728414772255,0.101340833416,217
Reflection (mathematics),0.993377483444,0.993421052632,6.38360027781e-05,4.17883782194,0.00523101803057,0.0593015212091,83
Regular polytope,0.990066225166,0.990163934426,5.1053007357e-06,3.92556499686,0.00442526189888,0.0486746012397,102
Regular Polytopes (book),0.960264900662,0.96178343949,0.00205970832885,2.30604436863,0.00171226185356,0.0146759426366,16
Relative direction,0.986754966887,0.986928104575,0.000456566006649,3.42687432152,0.00305058837546,0.0376768952843,103
Reuleaux triangle,0.996688741722,0.996699669967,0.000102378017777,4.0108170854,0.00485103293911,0.0504704382148,86
Rhombus,0.996688741722,0.996699669967,6.59805366744e-05,4.66998133339,0.00729468999188,0.103318923589,242
Riemannian geometry,0.990066225166,0.990163934426,0.000107851969481,3.92432632367,0.00444653760355,0.0475290467334,83
Riemann sphere,0.996688741722,0.996699669967,6.68521774196e-05,3.90409619175,0.00447310085985,0.0464828955109,78
Right triangle,0.986754966887,0.986928104575,0.000147322248013,3.77553896583,0.00397051196733,0.047404293338,77
Robot control,0.685430463576,0.760705289673,0.17143058694,0.807038861883,0.000518587972959,0.00408462406996,11
Roman surface,0.980132450331,0.980519480519,0.000188237782136,3.14427431246,0.00281622184959,0.0261254056358,34
Root system,0.996688741722,0.996699669967,0.000132104836893,3.91487060119,0.00453571811156,0.0459767099656,78
Rotation (mathematics),0.990066225166,0.990163934426,0.000224406783465,3.95944998963,0.0044668820141,0.0501274081628,81
Ruppeiner geometry,0.950331125828,0.952681388013,0.0103347099774,2.10146627977,0.00154665278972,0.0132499963934,15
Sangaku,0.983443708609,0.983713355049,0.000674059566125,2.8565172787,0.00225348476887,0.0229962179301,28
Schläfli symbol,0.990066225166,0.990163934426,0.000114535496367,3.73062112359,0.00393851760188,0.0406750305121,54
