pagename,average word length,first revision,hidden users,length,page views,unique ip users,unique registered users,unique users,words,Pagerank pro 0.8,Pagerank pro 0.85,Pagerank pro 0.9,Pagerank links 0.8,Pagerank links 0.85,Pagerank links 0.9,firstRevisions,islist,lastRevisions,nbBacklinks,nbCategories,nbLinks,nbcontributors,nbcontributorsBot,nbcontributorsIP,nbcontributorsMembers,nbrevisions,nbrevisionsBot,nbrevisionsIP,nbrevisionsMembers,ns,pageid,quality
Algebraic geometry,5.73247311828,2002-02-25T15:51:15Z,0,46959,813472,153,213,366,6975,5.12366415933,5.24716172367,5.37169305608,6.83614611626,6.94736931473,7.02574243769,2001-09-25T00:03:49Z,0.0,2014-08-30T13:52:03Z,1396,1,379,354.0,31.0,148.0,175.0,626.0,66.0,189.0,371.0,0,1997,4.0
Altitude (triangle),5.54395886889,2002-12-24T06:11:40Z,0,12728,720090,120,130,250,1945,3.80775006488,3.83845367469,3.86890815571,8.77173896879,9.35857463628,10.0058857352,2002-12-24T06:11:40Z,0.0,2014-08-07T20:54:52Z,128,2,59,235.0,15.0,115.0,105.0,356.0,25.0,158.0,173.0,0,161241,3.0
Analytic geometry,5.54426966292,2002-02-25T15:51:15Z,0,29122,1008367,150,176,326,4450,5.15973893926,5.28642255813,5.41441701353,5.62784122303,5.91333489865,6.20775297284,2001-10-15T22:30:11Z,0.0,2014-07-23T01:32:03Z,367,1,193,312.0,35.0,145.0,132.0,477.0,51.0,191.0,235.0,0,2202,4.0
Angle,5.1328344247,2002-02-25T15:43:11Z,0,32780,3985281,485,469,954,5345,7.23135005683,7.5434204191,7.86543171853,18.6622235924,20.035892725,21.5026848018,2001-11-13T03:26:51Z,0.0,2014-08-21T10:35:35Z,1090,11,192,928.0,51.0,473.0,404.0,1742.0,133.0,704.0,905.0,0,1196,4.0
Angle trisection,5.51556334941,2002-09-25T07:26:51Z,0,14862,262817,67,127,194,2281,3.40857193805,3.41432611458,3.41977016069,3.2714412082,3.38995526545,3.530574264,2002-09-25T07:26:51Z,0.0,2014-07-14T14:18:09Z,217,7,163,186.0,23.0,64.0,99.0,434.0,36.0,110.0,288.0,0,91111,3.0
Angular defect,5.34578313253,2004-05-23T01:34:10Z,0,5267,10267,12,40,52,830,2.62405001558,2.56600766443,2.50546098687,1.35431450326,1.24072469771,1.12615083344,2004-05-23T01:34:10Z,0.0,2014-07-26T17:43:23Z,20,2,34,51.0,10.0,12.0,29.0,89.0,11.0,12.0,66.0,0,673575,1.0
Annulus (mathematics),4.91218130312,2003-11-04T01:30:50Z,0,2087,500069,25,70,95,353,3.10881063342,3.09335510246,3.07714147493,1.15579774138,1.0083996458,0.856903847307,2003-11-04T01:30:50Z,0.0,2014-05-05T11:17:11Z,304,2,23,94.0,20.0,24.0,50.0,121.0,26.0,26.0,69.0,0,356158,2.0
Aperiodic tiling,6.03595255745,2004-07-30T22:12:36Z,0,18983,175824,41,104,145,2698,3.06994654238,3.03935888223,3.00613697618,2.09532282315,1.95867824368,1.80330476724,2004-07-30T22:12:36Z,0.0,2014-05-17T15:05:44Z,237,2,227,141.0,14.0,40.0,87.0,277.0,23.0,62.0,192.0,0,868145,4.0
Archimedean solid,6.1921005386,2001-09-08T19:34:15Z,0,4006,480157,45,130,175,557,4.08883299679,4.13778191432,4.18639183044,2.36744852737,2.26783007383,2.15380219743,2001-09-08T19:34:15Z,0.0,2014-08-31T01:52:39Z,350,1,139,170.0,22.0,45.0,103.0,339.0,29.0,69.0,241.0,0,1847,3.0
Arc (projective geometry),4.93970893971,2006-06-28T13:50:13Z,0,2857,20520,2,10,12,481,1.14944076631,1.00913702045,0.868002243806,0.862365181092,0.657950004097,0.446255726274,2006-06-28T13:50:13Z,0.0,2014-07-15T20:33:32Z,15,2,16,12.0,1.0,2.0,9.0,28.0,1.0,2.0,25.0,0,5744937,1.0
Astronomy,5.93075135554,2002-02-12T23:51:37Z,0,44738,5517703,1340,1239,2579,6455,8.72836448252,9.23958141357,9.77933220565,6.50381296873,7.00690131634,7.56634538993,2001-11-13T22:28:09Z,0.0,2014-08-31T15:39:30Z,48151,6,482,2518.0,83.0,1310.0,1125.0,4963.0,311.0,1903.0,2749.0,0,50650,5.0
Ball (mathematics),5.09649122807,2002-12-22T10:10:24Z,0,6255,282787,58,118,176,1026,3.60782002099,3.62131814472,3.63379810005,1.27285334747,1.11648440361,0.953680893872,2002-12-22T10:10:24Z,0.0,2014-06-18T23:03:23Z,230,8,61,170.0,17.0,57.0,96.0,271.0,25.0,72.0,174.0,0,160556,3.0
Bézier curve,5.67073542875,2002-02-25T03:59:59Z,0,21860,2025885,245,264,509,3277,4.91082342342,5.02274464816,5.13603445143,1.95707590319,1.80274120066,1.62361841649,2001-11-23T17:10:19Z,0.0,2014-08-27T23:12:29Z,225,9,97,484.0,33.0,235.0,216.0,898.0,54.0,340.0,504.0,0,4664,4.0
Bicentric quadrilateral,5.77468839885,2009-06-23T06:52:35Z,0,14132,22530,2,12,14,2086,1.34494970553,1.21461052913,1.08315364923,1.1195683619,0.992123968899,0.867392285727,2009-06-23T06:52:35Z,0.0,2014-05-05T08:29:06Z,32,2,47,13.0,3.0,2.0,8.0,105.0,6.0,2.0,97.0,0,23335118,0.0
Binary space partitioning,5.35375240539,2002-08-20T07:08:47Z,0,19811,593135,58,99,157,3118,3.33345052786,3.33012733608,3.32578807138,0.745235767681,0.56347087957,0.378726457711,2002-08-20T07:08:47Z,0.0,2014-05-01T12:25:27Z,101,6,126,156.0,20.0,58.0,78.0,236.0,22.0,71.0,143.0,0,73613,0.0
Birational geometry,5.58212680979,2003-11-29T13:05:27Z,0,13184,53810,13,32,45,2003,2.38696183078,2.31250654906,2.23537883721,1.46906543523,1.33841787465,1.20308948681,2003-11-29T13:05:27Z,0.0,2014-08-15T07:14:01Z,85,2,62,40.0,8.0,12.0,20.0,58.0,8.0,15.0,35.0,0,382733,3.0
Borromean rings,6.1744966443,2004-08-02T13:37:39Z,0,12828,487464,47,97,144,1788,2.85301217809,2.8135010507,2.77206720784,0.683950376697,0.516058760695,0.34762796713,2004-08-02T13:37:39Z,0.0,2014-08-24T01:14:25Z,175,14,178,141.0,15.0,46.0,80.0,306.0,19.0,65.0,222.0,0,873118,2.0
Brahmagupta's formula,5.85321100917,2003-03-09T21:49:21Z,0,3735,153389,27,60,87,545,3.16908233799,3.14735807478,3.12342867255,1.72122637741,1.62247405387,1.5282870736,2003-03-09T21:49:21Z,0.0,2014-06-10T16:52:49Z,45,6,18,87.0,15.0,27.0,45.0,147.0,18.0,41.0,88.0,0,194129,2.0
Bretschneider's formula,6.41739130435,2006-06-18T19:50:25Z,0,1706,43946,8,34,42,230,1.95554667152,1.86195888091,1.76691636443,1.50125171058,1.40627357177,1.31687987596,2006-06-18T19:50:25Z,0.0,2014-08-01T23:58:34Z,26,3,13,41.0,8.0,7.0,26.0,57.0,10.0,11.0,36.0,0,5615284,0.0
B-spline,5.47299021693,2001-10-25T15:45:13Z,0,15218,860889,121,107,228,2351,3.11437505297,3.09303728864,3.07006225921,1.31139322184,1.09864235856,0.864861009177,2001-10-25T15:45:13Z,0.0,2014-08-21T01:10:41Z,110,6,57,218.0,17.0,114.0,87.0,402.0,19.0,161.0,222.0,0,21834,4.0
Burmester's theory,5.19330855019,2010-01-18T23:44:02Z,0,9996,21176,2,16,18,1614,1.04434881359,0.895196804777,0.744940014556,0.660065968987,0.49504940398,0.330033071805,2010-01-18T23:44:02Z,0.0,2014-02-03T20:36:50Z,20,3,10,17.0,1.0,2.0,14.0,105.0,1.0,2.0,102.0,0,25856869,0.0
Cavalieri's principle,5.31872791519,2009-02-25T04:29:36Z,0,8941,202976,17,41,58,1415,2.03933310695,1.94987724535,1.8588011153,1.7787059769,1.59311119933,1.39026413672,2009-02-25T04:29:36Z,0.0,2014-05-12T19:38:52Z,118,9,64,55.0,10.0,16.0,29.0,135.0,11.0,20.0,104.0,0,21697672,0.0
Central angle,5.21774193548,2004-02-09T23:51:04Z,0,2313,264377,50,53,103,372,2.58072908036,2.5292839855,2.47679976746,2.08037323318,1.97241269052,1.86224933714,2004-02-09T23:51:04Z,0.0,2014-07-31T22:11:32Z,91,4,13,102.0,11.0,50.0,41.0,173.0,20.0,66.0,87.0,0,462705,2.0
Chirality (mathematics),5.4628422425,2004-11-15T00:50:22Z,0,4957,225501,22,53,75,767,2.97874584794,2.94260610826,2.90390755981,2.62315920554,2.54712766036,2.46051419526,2004-11-15T00:50:22Z,0.0,2013-05-06T03:02:19Z,171,6,42,71.0,12.0,21.0,38.0,87.0,13.0,27.0,47.0,0,1170160,2.0
Circle,5.2299660663,2002-02-20T15:02:14Z,0,23867,6383716,1046,807,1853,3831,8.66684969515,9.12017840892,9.59197804332,12.1862022206,12.5935124233,12.9787074402,2001-08-28T05:15:23Z,0.0,2014-08-07T08:13:30Z,1710,8,185,1810.0,41.0,1022.0,747.0,3529.0,212.0,1544.0,1773.0,0,6220,4.0
Circumscribed circle,5.59375,2005-05-22T23:26:25Z,0,17513,529026,76,112,188,2656,3.74854053371,3.77511396073,3.80139914341,10.5351386592,11.197601445,11.9136245921,2005-05-22T23:26:25Z,0.0,2014-07-14T00:19:02Z,124,3,90,185.0,28.0,75.0,82.0,336.0,34.0,103.0,199.0,0,1926432,4.0
Compass-and-straightedge construction,5.55063291139,2002-07-10T01:30:44Z,0,23805,88523,135,202,337,3634,4.78973612189,4.89062815905,4.99237189069,5.78245706856,6.02515693754,6.27901544794,2002-07-10T01:18:07Z,0.0,2014-08-13T12:54:32Z,71,4,132,327.0,30.0,131.0,166.0,584.0,43.0,173.0,368.0,0,61229,4.0
Complex geometry,5.74661246612,2003-02-21T10:11:13Z,0,4979,78860,6,48,54,738,2.87051242776,2.8259800747,2.77867587283,1.07089453377,0.942979007959,0.814397411887,2003-02-21T10:11:13Z,0.0,2014-07-11T07:51:34Z,74,4,60,52.0,11.0,5.0,36.0,114.0,11.0,17.0,86.0,0,186101,2.0
Complex projective plane,5.828125,2004-06-19T17:03:20Z,0,2622,44855,4,16,20,384,1.70062412508,1.58763572108,1.47265824489,2.09031812847,1.99565850198,1.89378205687,2004-06-19T17:03:20Z,0.0,2013-03-11T20:21:57Z,81,5,22,18.0,4.0,4.0,10.0,27.0,4.0,4.0,19.0,0,737155,2.0
Computational geometry,6.88671023965,2003-01-31T00:33:37Z,0,14480,466067,45,108,153,1836,3.10493423603,3.08133871295,3.05579579435,4.3187784031,4.20536007732,4.04565082863,2003-01-31T00:33:37Z,0.0,2014-07-07T20:22:05Z,459,3,190,151.0,16.0,45.0,90.0,258.0,19.0,64.0,175.0,0,176927,2.0
Computer graphics,5.9574107683,2008-07-23T20:25:09Z,0,57503,3655734,295,241,536,8265,3.46774351783,3.4968489781,3.52907599881,6.36800099164,6.20096921921,5.94847928733,2008-07-23T20:25:09Z,0.0,2014-08-21T09:24:02Z,2709,7,750,498.0,21.0,279.0,198.0,847.0,50.0,391.0,406.0,0,18567210,4.0
Concurrent lines,5.64755351682,2005-07-10T14:26:17Z,0,8695,142017,25,39,64,1308,2.21304548904,2.13376199827,2.05281423405,2.5635571219,2.5784925092,2.60564428754,2005-07-10T14:26:17Z,0.0,2014-07-28T23:55:40Z,68,3,74,60.0,10.0,23.0,27.0,111.0,12.0,37.0,62.0,0,2206157,1.0
Concyclic points,5.77321428571,2004-03-04T15:38:51Z,0,7586,59520,12,32,44,1120,2.11068848148,2.02236231416,1.93194905296,1.62146147341,1.54182058759,1.46887614392,2004-03-04T15:38:51Z,0.0,2014-03-27T07:42:05Z,24,2,59,42.0,7.0,12.0,23.0,88.0,7.0,16.0,65.0,0,504404,3.0
Cone,4.9488372093,2004-07-05T11:30:21Z,0,7674,1174628,251,238,489,1290,5.26443123817,5.41193597019,5.56292990223,5.22601837292,5.23642078042,5.21828886122,2004-07-05T11:30:21Z,0.0,2014-08-25T11:51:04Z,300,7,62,477.0,31.0,246.0,200.0,753.0,74.0,342.0,337.0,0,782427,2.0
Conformal geometry,5.63620909477,2003-08-13T22:46:58Z,0,15615,129549,10,58,68,2353,3.15867410973,3.13510675915,3.10907303356,2.04959954135,1.92491721828,1.79063691758,2003-08-13T22:46:58Z,0.0,2014-08-14T22:09:27Z,99,8,78,67.0,12.0,10.0,45.0,167.0,14.0,13.0,140.0,0,295907,4.0
Congruence (geometry),5.68830442082,2002-02-16T06:13:53Z,0,11952,2373888,273,199,472,1787,4.43809526041,4.52360976487,4.6111214906,8.76310933381,9.25844255835,9.77135915309,2002-02-16T06:13:53Z,0.0,2014-06-20T19:07:51Z,374,7,51,469.0,19.0,273.0,177.0,799.0,40.0,378.0,381.0,0,39330,3.0
Conic section,5.31540162122,2001-10-22T17:51:39Z,0,34280,1714960,182,303,485,5428,5.9996121563,6.19157124311,6.38659205288,9.69294924289,10.1585928351,10.6246815994,2001-10-22T17:51:39Z,0.0,2014-05-15T09:26:47Z,474,10,138,483.0,40.0,182.0,261.0,872.0,66.0,282.0,524.0,0,19008673,3.0
Constructive solid geometry,6.19803370787,2003-12-03T21:21:55Z,0,5125,348326,60,84,144,712,2.61670793407,2.56434781477,2.51044891775,1.19694031309,0.997904455289,0.787037366536,2003-12-03T21:21:55Z,0.0,2014-08-07T06:10:36Z,80,5,53,139.0,12.0,58.0,69.0,209.0,12.0,73.0,124.0,0,386499,2.0
Contact geometry,5.53277777778,2004-02-19T12:10:21Z,0,11759,109112,28,61,89,1800,2.80765094794,2.76382570155,2.71781836636,0.866706715897,0.704299192876,0.540244858712,2004-02-19T12:10:21Z,0.0,2014-06-11T15:13:46Z,57,1,57,87.0,10.0,28.0,49.0,159.0,12.0,31.0,116.0,0,476398,2.0
Convex geometry,6.43308270677,2006-02-22T23:42:29Z,0,4943,80279,16,27,43,665,1.85382855125,1.75045512151,1.64510845207,1.72874913551,1.65156007279,1.56867154874,2006-02-22T23:42:29Z,0.0,2014-08-31T11:42:57Z,101,1,23,42.0,3.0,16.0,23.0,90.0,4.0,45.0,41.0,0,4165882,2.0
Convex hull,5.4364786505,2002-02-25T03:57:31Z,0,12210,918424,61,118,179,1897,3.64974257536,3.65597591735,3.65959736519,3.22483130731,3.03281936795,2.80676106922,2002-02-25T03:57:31Z,0.0,2014-05-21T18:14:00Z,408,4,91,170.0,15.0,58.0,97.0,348.0,19.0,82.0,247.0,0,40634,4.0
Convex uniform honeycomb,8.41358024691,2002-02-17T10:07:00Z,0,25925,93476,24,60,84,2754,2.64776381664,2.59946705773,2.54986644723,1.294744201,1.12919462845,0.953625538386,2001-12-20T03:31:55Z,0.0,2014-07-28T21:56:22Z,118,4,182,82.0,6.0,24.0,52.0,810.0,11.0,50.0,749.0,0,2961,4.0
Coordinate-free,6.84482758621,2008-08-14T09:39:27Z,0,1820,26133,0,10,10,232,1.23234000057,1.09596701805,0.958559161518,0.773350358941,0.618892139755,0.46521690092,2008-08-14T09:39:27Z,0.0,2014-05-05T04:48:13Z,38,6,29,8.0,1.0,,7.0,30.0,1.0,,29.0,0,18858579,2.0
Coordinate rotations and reflections,5.1961722488,2004-04-14T16:19:24Z,0,2590,79746,4,20,24,418,1.86668545939,1.7693931004,1.67088769376,1.39440270141,1.29086140078,1.1872430332,2004-04-14T16:19:24Z,0.0,2013-12-18T00:32:45Z,25,3,22,23.0,6.0,4.0,13.0,34.0,6.0,4.0,24.0,0,596267,0.0
Coxeter group,5.65043923865,2003-08-15T12:52:19Z,0,18169,160246,41,77,118,2732,3.27544566244,3.25728557073,3.23632662185,5.61927817762,5.82883600146,6.03442732245,2003-08-15T12:52:19Z,0.0,2014-07-24T23:32:14Z,611,1,211,113.0,14.0,41.0,58.0,304.0,15.0,52.0,237.0,0,297004,4.0
Cross-ratio,5.33435700576,2003-12-14T21:49:21Z,0,16501,134339,19,62,81,2605,3.35141969845,3.34078073502,3.32781230099,3.19385109469,3.21092107333,3.22590675205,2003-12-14T21:49:21Z,0.0,2014-07-15T21:09:48Z,98,4,89,78.0,14.0,18.0,46.0,189.0,16.0,27.0,146.0,0,401767,3.0
Cross section (geometry),5.31732418525,2004-12-28T18:59:46Z,0,7366,730210,30,68,98,1166,2.87491013296,2.83331191167,2.78946408071,2.66811694019,2.57042120211,2.45670462027,2004-12-28T18:59:46Z,0.0,2014-08-27T19:36:23Z,424,7,84,88.0,13.0,25.0,50.0,142.0,15.0,52.0,75.0,0,1337370,2.0
Crystal,6.20125566795,2002-02-25T15:43:11Z,0,20646,4554108,878,622,1500,2867,5.88122662157,6.14356342703,6.42271898687,3.31082311459,3.31901316531,3.31803667359,2001-11-07T01:49:53Z,0.0,2014-08-26T07:43:16Z,2112,9,199,1496.0,41.0,878.0,577.0,2777.0,211.0,1299.0,1267.0,0,6015,3.0
Crystal system,6.79484862178,2004-02-05T22:11:44Z,0,17250,746172,59,101,160,2213,3.27973393723,3.27001488768,3.25887417421,2.85994750448,2.83698295243,2.80543370172,2004-02-05T22:11:44Z,0.0,2014-03-11T16:09:45Z,1328,6,83,156.0,15.0,57.0,84.0,338.0,23.0,78.0,237.0,0,456410,3.0
Cuisenaire rods,5.85460693153,2005-02-27T03:38:37Z,0,8109,330012,43,67,110,1183,2.15464481153,2.07371357828,1.99139653705,3.30032990314,3.30032920465,3.30024166033,2005-02-27T03:38:37Z,0.0,2014-06-30T20:54:50Z,41,4,33,103.0,13.0,40.0,50.0,163.0,16.0,52.0,95.0,0,1549329,2.0
Curve of constant width,5.33301435407,2004-04-06T17:47:28Z,0,6618,167256,22,57,79,1045,2.51724245027,2.45804991573,2.39720684476,1.10907957423,0.937963603064,0.760062364861,2004-04-06T17:47:28Z,0.0,2014-08-29T15:39:40Z,66,2,33,77.0,8.0,20.0,49.0,126.0,11.0,23.0,92.0,0,580238,0.0
Cyclic quadrilateral,5.96737132353,2003-03-09T21:54:52Z,0,15161,349585,39,75,114,2176,3.41704674065,3.42018785886,3.42255434953,4.81612747535,4.92183491588,5.04058087245,2003-03-09T21:54:52Z,0.0,2014-07-09T09:22:55Z,100,1,78,108.0,26.0,35.0,47.0,245.0,33.0,53.0,159.0,0,194131,0.0
Dandelin spheres,4.99805068226,2004-05-28T00:19:56Z,0,6154,78609,17,33,50,1026,2.06759874709,1.97793962434,1.88632193021,1.5423130244,1.45839713514,1.37762888335,2004-05-28T00:19:56Z,0.0,2013-04-26T15:26:16Z,34,4,24,49.0,6.0,16.0,27.0,189.0,8.0,26.0,155.0,0,683726,0.0
Delaunay triangulation,5.8431911967,2001-11-21T19:15:11Z,0,14925,1108745,103,125,228,2181,3.60411615111,3.61241027713,3.61879332922,1.96305429563,1.85210921336,1.73173728399,2001-11-21T19:15:11Z,0.0,2014-06-23T02:15:56Z,144,2,52,223.0,20.0,100.0,103.0,393.0,26.0,130.0,237.0,0,8864,3.0
Deltahedron,5.33943275389,2004-02-28T23:28:21Z,0,6929,68602,13,56,69,1093,2.85036372952,2.81210872345,2.77217081748,1.10108684748,0.957708689384,0.811440055259,2004-02-28T23:28:21Z,0.0,2014-08-27T03:22:57Z,74,5,63,66.0,16.0,13.0,37.0,188.0,19.0,18.0,151.0,0,493995,2.0
Desargues' theorem,5.75015576324,2003-11-06T20:47:16Z,0,10834,142990,14,70,84,1605,3.42169427313,3.41780600138,3.41191422194,4.7171888873,4.79827821255,4.87169669941,2003-11-06T20:47:16Z,0.0,2014-08-13T06:59:02Z,98,2,45,83.0,16.0,14.0,53.0,218.0,21.0,17.0,180.0,0,358488,3.0
Descriptive geometry,6.00620417372,2004-02-23T18:53:10Z,0,12422,245968,17,60,77,1773,2.57626222447,2.52458336763,2.47180159204,1.66419078596,1.54933752492,1.42589095049,2004-02-23T18:53:10Z,0.0,2014-08-11T23:47:36Z,108,8,108,76.0,22.0,17.0,37.0,183.0,23.0,22.0,138.0,0,484891,2.0
Differential geometry,6.4582111437,2001-11-08T02:59:25Z,0,20346,1036598,96,168,264,2728,4.73321182653,4.82121109962,4.90851840004,5.20829111338,5.28340600431,5.3352303803,2001-11-08T02:59:25Z,0.0,2014-08-23T15:23:59Z,1281,1,297,258.0,31.0,94.0,133.0,475.0,47.0,127.0,301.0,0,8625,4.0
Digital geometry,6.1738002594,2003-12-03T19:54:43Z,0,5531,67767,16,47,63,771,2.34743091278,2.2742478177,2.19892570749,2.24284036085,1.98002113029,1.67400785722,2003-12-03T19:54:43Z,0.0,2014-06-25T14:09:25Z,46,3,31,60.0,9.0,16.0,35.0,111.0,9.0,51.0,51.0,0,386413,2.0
Dihedral angle,5.27328244275,2003-10-10T11:16:07Z,0,8218,698775,32,67,99,1310,2.58250022307,2.53075943328,2.47789057903,2.14660982601,2.07157898694,1.99366756715,2003-10-10T11:16:07Z,0.0,2014-07-01T00:26:48Z,215,3,50,98.0,18.0,31.0,49.0,165.0,20.0,46.0,99.0,0,338046,2.0
Discrete geometry,6.53085680048,2003-12-03T20:58:53Z,0,12569,134067,9,61,70,1669,3.17957624793,3.15686292015,3.13167995773,3.57104279101,3.57111892663,3.5467275884,2003-12-03T20:58:53Z,0.0,2014-07-09T16:47:27Z,266,1,213,64.0,13.0,9.0,42.0,95.0,15.0,10.0,70.0,0,386468,3.0
Dissection problem,5.78571428571,2005-10-15T22:55:17Z,0,1425,20334,4,15,19,210,1.47981930058,1.35387037881,1.22609594837,0.931627000682,0.770419836044,0.606635236181,2005-10-15T22:55:17Z,0.0,2013-12-20T22:43:14Z,21,9,23,19.0,5.0,4.0,10.0,30.0,6.0,5.0,19.0,0,2915839,1.0
Distance geometry,5.54307909605,2004-05-14T19:47:49Z,0,9265,67621,14,36,50,1416,2.69514345564,2.63933348469,2.58081266657,1.2557269074,1.13583751954,1.01778609678,2004-05-14T19:47:49Z,0.0,2014-05-16T06:46:27Z,44,4,35,49.0,7.0,14.0,28.0,118.0,8.0,31.0,79.0,0,654387,1.0
Dividing a circle into areas,4.82115677321,2003-12-13T08:02:54Z,0,7649,60657,14,30,44,1314,1.78064731881,1.67282612529,1.56309711747,0.683950376697,0.516058760695,0.34762796713,2003-12-13T08:02:54Z,0.0,2014-03-14T15:21:51Z,16,3,18,44.0,4.0,14.0,26.0,79.0,4.0,27.0,48.0,0,399730,0.0
Duality (projective geometry),5.01353790614,2004-03-20T20:47:13Z,0,19989,84740,9,41,50,3324,2.95125250705,2.91201658547,2.87005351856,3.19341989234,3.16887837835,3.13885719515,2004-03-20T20:47:13Z,0.0,2014-04-14T03:16:58Z,86,2,57,46.0,10.0,9.0,27.0,118.0,11.0,11.0,96.0,0,539925,2.0
Eccentricity (mathematics),5.82998454405,2004-12-03T21:58:43Z,0,8838,672478,58,102,160,1294,3.02377273329,3.00631509162,2.98865721561,3.49387340248,3.50103806704,3.50719993003,2004-12-03T21:58:43Z,0.0,2014-08-16T08:09:48Z,164,5,120,154.0,21.0,54.0,79.0,243.0,39.0,71.0,133.0,0,1239472,2.0
Ehrhart polynomial,5.95794392523,2003-09-12T19:19:21Z,0,8934,37323,8,37,45,1284,2.57451902144,2.51108664088,2.4448344484,1.22877385002,1.06980802957,0.902108673472,2003-09-12T19:19:21Z,0.0,2014-07-11T00:14:40Z,34,4,41,43.0,9.0,8.0,26.0,103.0,10.0,9.0,84.0,0,316904,0.0
Ellipse,5.42485783916,2001-11-28T07:10:41Z,0,39545,5902185,524,490,1014,6155,7.09878187627,7.37696141005,7.66081688926,9.19331051409,9.77221690118,10.3973876685,2001-11-28T07:10:41Z,0.0,2014-08-31T11:27:55Z,1019,6,221,992.0,45.0,512.0,435.0,2041.0,108.0,754.0,1179.0,0,9277,3.0
Ellipsoid,5.83897667419,2002-11-09T05:08:02Z,0,9089,1661475,127,139,266,1329,4.06359974295,4.11274004728,4.16173320264,2.40135844797,2.32243910432,2.23664287478,2002-11-09T05:08:02Z,0.0,2014-06-05T06:10:46Z,494,4,62,262.0,24.0,124.0,114.0,425.0,38.0,167.0,220.0,0,145381,3.0
