,personal pronouns,articles,hf adverbs,prepositions,total words,impersonal pronouns,quantifiers,auxiliary verbs,negations,conjunctions
Central angle,0.00199600798403,0.111776447106,0.0,0.0678642714571,501,0.00199600798403,0.0,0.0359281437126,0.00399201596806,0.0279441117764
Chirality (mathematics),0.00551267916207,0.102535832415,0.0,0.0948180815877,907,0.018743109151,0.00992282249173,0.0672546857773,0.00661521499449,0.0330760749724
Circle,0.00231140996008,0.146459340198,0.0,0.11136793444,4759,0.00609371716747,0.00861525530574,0.0413952511032,0.00126076906913,0.0220634587098
Circumscribed circle,0.00206124852768,0.13457008245,0.000588928150766,0.101295641932,3396,0.00471142520612,0.0108951707892,0.0379858657244,0.00206124852768,0.0220848056537
Compass-and-straightedge construction,0.007976955462,0.108132062929,0.000886328384667,0.0979392865057,4513,0.00620429869267,0.0121870152892,0.0376689563483,0.00576113450033,0.037225792156
Complex geometry,0.00344827586207,0.0896551724138,0.00229885057471,0.108045977011,870,0.00919540229885,0.0114942528736,0.0494252873563,0.0,0.0241379310345
Complex projective plane,0.00215053763441,0.109677419355,0.00215053763441,0.0967741935484,465,0.00645161290323,0.00645161290323,0.0516129032258,0.0,0.0215053763441
Computational geometry,0.00171747531129,0.0863031343924,0.00171747531129,0.0974667239158,2329,0.00171747531129,0.00858737655646,0.0326320309146,0.00128810648347,0.0249033920137
Computer graphics,0.00657620041754,0.0802713987474,0.00219206680585,0.0982254697286,9580,0.00417536534447,0.00594989561587,0.0313152400835,0.00167014613779,0.0319415448852
Concurrent lines,0.00488997555012,0.142420537897,0.000611246943765,0.112469437653,1636,0.00244498777506,0.0146699266504,0.0397310513447,0.0,0.0250611246944
Concyclic points,0.0033692722372,0.109838274933,0.000673854447439,0.100404312668,1484,0.00404312668464,0.0161725067385,0.0397574123989,0.00134770889488,0.0289757412399
Cone,0.0,0.150530503979,0.00198938992042,0.109416445623,1508,0.00596816976127,0.0079575596817,0.0457559681698,0.0053050397878,0.0245358090186
Conformal geometry,0.000691802144587,0.124524386026,0.000691802144587,0.107229332411,2891,0.00588031822899,0.00588031822899,0.0418540297475,0.00207540643376,0.0127983396749
Congruence (geometry),0.0132723112128,0.0919908466819,0.00091533180778,0.10938215103,2185,0.00137299771167,0.00503432494279,0.049885583524,0.00640732265446,0.0343249427918
Conic section,0.00458575359217,0.123051054723,0.000764292265362,0.103943748089,6542,0.00535004585754,0.00963008254356,0.0438703760318,0.0027514521553,0.0287373891776
Constructive solid geometry,0.00221729490022,0.0643015521064,0.00332594235033,0.0853658536585,902,0.00665188470067,0.0133037694013,0.0443458980044,0.00221729490022,0.0310421286031
Contact geometry,0.00228519195612,0.106946983547,0.000457038391225,0.0991773308958,2188,0.00594149908592,0.00868372943327,0.0374771480804,0.00091407678245,0.0187385740402
Convex geometry,0.0010989010989,0.0263736263736,0.0,0.0637362637363,910,0.0043956043956,0.0010989010989,0.00989010989011,0.0,0.0263736263736
Convex hull,0.00281917035844,0.105114780507,0.00322190898107,0.105114780507,2483,0.0108739428111,0.016512283528,0.0326218284333,0.0024164317358,0.0193314538864
Convex uniform honeycomb,0.00276039749724,0.0334928229665,0.0,0.0421420684579,5434,0.00092013249908,0.0046006624954,0.0143540669856,0.000552079499448,0.0114096429886
Coordinate rotations and reflections,0.0,0.123232323232,0.0,0.10101010101,495,0.00606060606061,0.0121212121212,0.0545454545455,0.0040404040404,0.0383838383838
Coordinate-free,0.00743494423792,0.089219330855,0.0148698884758,0.111524163569,269,0.00371747211896,0.0185873605948,0.0334572490706,0.00371747211896,0.0297397769517
Coxeter group,0.00292654375183,0.0889669300556,0.0,0.0854550775534,3417,0.00263388937665,0.0114135206321,0.0321919812701,0.00409716125256,0.0251682762657
Cross section (geometry),0.00149476831091,0.124065769806,0.00149476831091,0.130044843049,1338,0.00597907324365,0.00523168908819,0.0358744394619,0.00224215246637,0.0179372197309
Cross-ratio,0.00562324273664,0.114026866604,0.000937207122774,0.110590440487,3201,0.00562324273664,0.00812246173071,0.0396751015308,0.00343642611684,0.0196813495783
Crystal,0.00390516039052,0.0850767085077,0.00334728033473,0.0951185495119,3585,0.00390516039052,0.0114365411437,0.0390516039052,0.0044630404463,0.0287308228731
Crystal system,0.00679809653297,0.0513256288239,0.000679809653297,0.0554044867437,2942,0.00169952413324,0.00509857239973,0.0248130523453,0.00101971447995,0.0210740992522
Cuisenaire rods,0.013037809648,0.0632333767927,0.000651890482399,0.0860495436767,1534,0.0019556714472,0.00521512385919,0.0182529335072,0.0,0.0215123859192
Curve of constant width,0.00570962479608,0.112561174551,0.000815660685155,0.121533442088,1226,0.00652528548124,0.0130505709625,0.0432300163132,0.00407830342577,0.0179445350734
Cyclic quadrilateral,0.000668002672011,0.113560454242,0.0,0.0855043420174,2994,0.00267201068804,0.0063460253841,0.0434201736807,0.00100200400802,0.0277221108884
Dandelin spheres,0.00389711613406,0.127825409197,0.00155884645362,0.0974279033515,1283,0.00233826968044,0.00935307872175,0.0428682774747,0.0,0.0210444271239
Delaunay triangulation,0.00580340950308,0.108813928183,0.000362713093943,0.0903155603917,2757,0.00471527022125,0.0119695321001,0.0308306129851,0.0050779833152,0.0195865070729
Deltahedron,0.00297397769517,0.0468401486989,0.0,0.0431226765799,1345,0.0,0.0104089219331,0.0237918215613,0.00297397769517,0.0111524163569
Desargues' theorem,0.0042735042735,0.0902184235518,0.000474833808167,0.0987654320988,2106,0.00237416904084,0.0132953466287,0.0332383665717,0.00569800569801,0.0289648622982
Descriptive geometry,0.00371574547144,0.101254064097,0.00139340455179,0.104505341384,2153,0.00418021365536,0.0116117045982,0.0241523455643,0.00278680910358,0.019507663725
Differential geometry,0.00183710961421,0.0900183710961,0.000918554807103,0.0949173300674,3266,0.00428658909982,0.00642988364972,0.0385793018983,0.00244947948561,0.0195958358849
Digital geometry,0.00478011472275,0.0487571701721,0.0,0.0831739961759,1046,0.00478011472275,0.00286806883365,0.0200764818356,0.000956022944551,0.0420650095602
Dihedral angle,0.00444162436548,0.105964467005,0.0,0.0964467005076,1576,0.00317258883249,0.00634517766497,0.0406091370558,0.00190355329949,0.0323604060914
Discrete geometry,0.00323475046211,0.0730129390018,0.000462107208872,0.0804066543438,2164,0.00277264325323,0.00600739371534,0.0309611829945,0.00231053604436,0.0346580406654
Dissection problem,0.00377358490566,0.124528301887,0.00377358490566,0.109433962264,265,0.00754716981132,0.0264150943396,0.0490566037736,0.00754716981132,0.011320754717
Distance geometry,0.00554323725055,0.10421286031,0.00277161862528,0.104767184035,1804,0.00609756097561,0.0110864745011,0.0365853658537,0.00388026607539,0.0288248337029
Dividing a circle into areas,0.0165184243964,0.127700127065,0.0012706480305,0.11626429479,1574,0.00317662007624,0.0209656925032,0.0393900889454,0.00254129606099,0.0190597204574
Duality (projective geometry),0.00405727923628,0.114797136038,0.000477326968974,0.0959427207637,4190,0.00477326968974,0.00453460620525,0.0431980906921,0.00143198090692,0.0214797136038
Eccentricity (mathematics),0.00205338809035,0.120465434634,0.000684462696783,0.113620807666,1461,0.00547570157426,0.00752908966461,0.0438056125941,0.0041067761807,0.0294318959617
Ehrhart polynomial,0.00334821428571,0.0792410714286,0.000558035714286,0.09765625,1792,0.00334821428571,0.00948660714286,0.0345982142857,0.00111607142857,0.015625
Ellipse,0.00325775345322,0.130049517852,0.000912170966901,0.10724524368,7674,0.00456085483451,0.00716705759708,0.0383111806099,0.000912170966901,0.0247589262445
Ellipsoid,0.00607533414338,0.108140947752,0.00243013365735,0.114216281896,1646,0.00303766707169,0.00607533414338,0.0370595382746,0.00182260024301,0.0249088699878
Elliptic geometry,0.00703399765533,0.112934740133,0.000390777647519,0.117624071903,2559,0.00664322000782,0.0121141070731,0.0496287612349,0.00508010941774,0.0242282141462
Enumerative geometry,0.00493096646943,0.0927021696252,0.00197238658777,0.109467455621,1014,0.00394477317554,0.00887573964497,0.0335305719921,0.00394477317554,0.0177514792899
Epipolar geometry,0.00381970970206,0.116883116883,0.0,0.109243697479,1309,0.00840336134454,0.0137509549274,0.035141329259,0.00229182582124,0.0267379679144
Equidiagonal quadrilateral,0.00325379609544,0.0921908893709,0.0,0.100867678959,922,0.0140997830803,0.00759219088937,0.0477223427332,0.0,0.0325379609544
Equilateral triangle,0.00257921886514,0.112748710391,0.000368459837878,0.09027266028,2714,0.00552689756817,0.0154753131909,0.0320560058954,0.0,0.0287398673545
Erlangen program,0.00713606089439,0.0913415794481,0.00190294957184,0.116079923882,2102,0.00523311132255,0.0123691722169,0.0375832540438,0.00570884871551,0.0190294957184
Euclidean distance,0.00621118012422,0.0981366459627,0.00124223602484,0.0981366459627,805,0.0136645962733,0.0,0.0509316770186,0.00248447204969,0.0223602484472
Euclidean geometry,0.00857927247769,0.0839624799817,0.00137268359643,0.102264927934,8742,0.00583390528483,0.00812171127888,0.0370624571036,0.0043468313887,0.0269961107298
Euclidean shortest path,0.00240096038415,0.0768307322929,0.0,0.0768307322929,833,0.00360144057623,0.00240096038415,0.0192076830732,0.00240096038415,0.0168067226891
Euler line,0.00234192037471,0.123536299766,0.00117096018735,0.0930913348946,1708,0.00936768149883,0.0105386416862,0.0263466042155,0.00175644028103,0.0275175644028
Finite geometry,0.00333535476046,0.0964220739842,0.000303214069133,0.0918738629472,3298,0.00303214069133,0.0178896300788,0.0439660400243,0.00424499696786,0.0230442692541
Focus (geometry),0.0038338658147,0.157827476038,0.000638977635783,0.129712460064,1565,0.00511182108626,0.0140575079872,0.0562300319489,0.000638977635783,0.0255591054313
Four-dimensional space,0.00651831872331,0.101146325017,0.000224769611149,0.107889413351,4449,0.00404585300067,0.00561924027871,0.0359631377838,0.00247246572263,0.0184311081142
Fractal,0.003652491521,0.0549178189408,0.001043569006,0.0717453691625,7666,0.0028698147665,0.004174276024,0.0230889642578,0.00273936864075,0.0232194103835
Frieze group,0.00327868852459,0.0972677595628,0.0016393442623,0.0890710382514,1830,0.00109289617486,0.00655737704918,0.0256830601093,0.000546448087432,0.0333333333333
Geometric shape,0.008356545961,0.105849582173,0.008356545961,0.114206128134,359,0.0111420612813,0.0194986072423,0.0640668523677,0.00278551532033,0.0362116991643
Geometrization conjecture,0.00291806958474,0.0985409652076,0.0013468013468,0.105723905724,4455,0.0040404040404,0.00763187429854,0.0446689113356,0.00538720538721,0.0253647586981
Geometry,0.00690351911096,0.0727395184374,0.00151540663411,0.108772520626,5939,0.00370432732783,0.00639838356626,0.029129483078,0.00134702811921,0.0289611045631
Geometry of numbers,0.000821018062397,0.0311986863711,0.0,0.0656814449918,1218,0.000821018062397,0.00246305418719,0.0131362889984,0.0,0.0238095238095
Girard Desargues,0.0103703703704,0.0651851851852,0.00148148148148,0.0992592592593,675,0.00148148148148,0.00148148148148,0.0192592592593,0.0,0.0237037037037
Glide reflection,0.0039100684262,0.117302052786,0.0,0.0967741935484,1023,0.00977517106549,0.00684261974585,0.0293255131965,0.000977517106549,0.0146627565982
Golden angle,0.0,0.141280353201,0.0,0.112582781457,453,0.00441501103753,0.00220750551876,0.0353200883002,0.0,0.0132450331126
Graham scan,0.00594353640416,0.102526002972,0.00074294205052,0.0958395245171,1346,0.00891530460624,0.0126300148588,0.0364041604755,0.00148588410104,0.0193164933135
Group action,0.00384615384615,0.109807692308,0.000961538461538,0.1325,5200,0.00480769230769,0.0157692307692,0.0425,0.00134615384615,0.0273076923077
Hadwiger's theorem,0.0,0.0701754385965,0.0,0.0964912280702,342,0.00584795321637,0.00584795321637,0.0643274853801,0.0,0.0204678362573
Handedness,0.00764286955011,0.0576689247872,0.00156331422616,0.0826819524058,5757,0.00260552371027,0.00625325690464,0.0276185513288,0.00138961264548,0.0222338023276
Hermite spline,0.02,0.14,0.0,0.1,50,0.0,0.02,0.06,0.0,0.0
Heron's formula,0.00898587933248,0.103337612323,0.00192554557125,0.114249037227,1558,0.00513478818999,0.00256739409499,0.0314505776637,0.000641848523748,0.0263157894737
Heronian tetrahedron,0.00787401574803,0.102362204724,0.0,0.0472440944882,127,0.00787401574803,0.0157480314961,0.0708661417323,0.0157480314961,0.0236220472441
Heronian triangle,0.00056338028169,0.0608450704225,0.00056338028169,0.0614084507042,1775,0.00338028169014,0.00450704225352,0.0304225352113,0.00281690140845,0.0129577464789
Hidden line removal,0.00343642611684,0.0824742268041,0.0,0.0927835051546,291,0.00343642611684,0.00343642611684,0.0378006872852,0.00687285223368,0.020618556701
Hilbert's axioms,0.0103132161956,0.105423987777,0.000381970970206,0.105042016807,2618,0.00267379679144,0.00993124522536,0.0309396485867,0.00496562261268,0.0324675324675
Hilbert's third problem,0.00884955752212,0.0860820595334,0.0,0.0957361222848,1243,0.00724054706356,0.016894609815,0.0434432823813,0.00160901045857,0.0201126307321
Holditch's theorem,0.0,0.0988296488947,0.0,0.101430429129,769,0.0,0.00520156046814,0.0247074122237,0.00260078023407,0.0182054616385
Homogeneous coordinates,0.00346901017576,0.0982886216466,0.000462534690102,0.107770582794,4324,0.00323774283071,0.00624421831637,0.0395467160037,0.00346901017576,0.0222016651249
Homography,0.00368098159509,0.118036809816,0.000245398773006,0.113374233129,4075,0.00564417177914,0.00662576687117,0.0493251533742,0.0039263803681,0.0203680981595
Homothetic center,0.0119309262166,0.133751962323,0.00094191522763,0.11240188383,3185,0.00408163265306,0.0160125588697,0.0464678178964,0.00094191522763,0.0301412872841
Homothetic transformation,0.0,0.118673647469,0.0,0.0907504363002,573,0.00698080279232,0.0122164048866,0.0296684118674,0.00174520069808,0.0401396160558
Honeycomb (geometry),0.00519480519481,0.074025974026,0.000649350649351,0.0805194805195,1540,0.00454545454545,0.0123376623377,0.0396103896104,0.0025974025974,0.0194805194805
Hyperbola,0.00293358366581,0.160408354846,0.00105609011969,0.125674724243,8522,0.00797934757099,0.00809669091762,0.0404834545881,0.00117343346632,0.0238206993663
Hyperbolic geometry,0.00735294117647,0.0943277310924,0.00147058823529,0.0978991596639,4760,0.00441176470588,0.00714285714286,0.0350840336134,0.00378151260504,0.0220588235294
Hyperboloid,0.00315457413249,0.11356466877,0.00236593059937,0.11119873817,1268,0.00709779179811,0.00552050473186,0.0378548895899,0.000788643533123,0.0228706624606
Hyperplane,0.000853970964987,0.118701964133,0.00170794192997,0.111870196413,1171,0.00768573868488,0.0119555935098,0.0486763450043,0.00426985482494,0.0222032450897
Hyperplane at infinity,0.00250626566416,0.135338345865,0.00250626566416,0.122807017544,399,0.00250626566416,0.015037593985,0.0325814536341,0.00501253132832,0.00751879699248
Image analysis,0.00343642611684,0.0506872852234,0.00085910652921,0.0919243986254,1164,0.00343642611684,0.00773195876289,0.0231958762887,0.00085910652921,0.0378006872852
Incidence (geometry),0.011811023622,0.0807086614173,0.0,0.130905511811,1016,0.000984251968504,0.00492125984252,0.0521653543307,0.000984251968504,0.0374015748031
Incidence geometry,0.00987841945289,0.0957446808511,0.00227963525836,0.0851063829787,1316,0.00303951367781,0.0136778115502,0.0455927051672,0.00227963525836,0.0212765957447
Incircle and excircles of a triangle,0.00558659217877,0.110933758978,0.000798084596967,0.08419792498,2506,0.00438946528332,0.00678371907422,0.0391061452514,0.000798084596967,0.0343176376696
Infinitesimal transformation,0.00995024875622,0.112769485904,0.0,0.131011608624,603,0.00995024875622,0.0016583747927,0.0563847429519,0.00331674958541,0.0116086235489
Information geometry,0.00366544485172,0.109963345551,0.000666444518494,0.104298567144,3001,0.00633122292569,0.00699766744419,0.0456514495168,0.00399866711096,0.0303232255915
Inscribed angle,0.010612244898,0.115918367347,0.0,0.102857142857,1225,0.0114285714286,0.0065306122449,0.0457142857143,0.00244897959184,0.0310204081633
Integer triangle,0.00159968006399,0.0871825634873,0.000199960007998,0.0931813637273,5001,0.00459908018396,0.0111977604479,0.0389922015597,0.00199960007998,0.0279944011198
Integral geometry,0.0040899795501,0.118609406953,0.0040899795501,0.155419222904,489,0.00613496932515,0.0040899795501,0.0306748466258,0.0,0.0184049079755
Internal and external angle,0.0,0.1197053407,0.0,0.117863720074,543,0.0036832412523,0.0110497237569,0.0460405156538,0.0,0.0276243093923
Invariant (mathematics),0.00542299349241,0.114967462039,0.00108459869848,0.130151843818,1844,0.00216919739696,0.0119305856833,0.0536876355748,0.00433839479393,0.0206073752711
Inversive geometry,0.0035279025016,0.119948685055,0.00096215522771,0.113855035279,3118,0.00705580500321,0.00769724182168,0.0381654906992,0.00384862091084,0.0262989095574
Isometry,0.00561797752809,0.119850187266,0.00187265917603,0.0870786516854,1068,0.00280898876404,0.0102996254682,0.0533707865169,0.00749063670412,0.0290262172285
Isoperimetric inequality,0.00265856437524,0.105962780099,0.000759589821496,0.105962780099,2633,0.00683630839347,0.0106342575009,0.0410178503608,0.00227876946449,0.0201291302697
Isosceles trapezoid,0.00385728061716,0.122468659595,0.0,0.0945033751205,1037,0.00482160077146,0.0106075216972,0.0559305689489,0.000964320154291,0.0308582449373
Isosceles triangle,0.00408163265306,0.122448979592,0.000907029478458,0.105215419501,2205,0.00634920634921,0.00770975056689,0.037641723356,0.000907029478458,0.0226757369615
Johnson solid,0.00619408121129,0.0529938059188,0.0,0.0492085340674,2906,0.00516173434274,0.00516173434274,0.0340674466621,0.00516173434274,0.0247763248451
Kepler conjecture,0.00699844479005,0.096034214619,0.00116640746501,0.104199066874,2572,0.00272161741835,0.00660964230171,0.0283825816485,0.000777604976672,0.0159409020218
Kepler–Poinsot polyhedron,0.010835214447,0.0803611738149,0.000902934537246,0.0758465011287,2215,0.00316027088036,0.00993227990971,0.0252821670429,0.0058690744921,0.0261851015801
Kissing number problem,0.00147058823529,0.0911764705882,0.000490196078431,0.0955882352941,2040,0.00294117647059,0.0107843137255,0.0382352941176,0.00294117647059,0.0171568627451
Kite (geometry),0.00230840258541,0.104339796861,0.00184672206833,0.0877192982456,2166,0.0078485687904,0.0115420129271,0.0461680517082,0.000923361034164,0.0244690674054
Klein geometry,0.00308008213552,0.0965092402464,0.0,0.104722792608,974,0.00513347022587,0.0041067761807,0.0554414784394,0.00205338809035,0.0143737166324
Lattice (group),0.00519480519481,0.109523809524,0.0021645021645,0.112121212121,2310,0.004329004329,0.0108225108225,0.0415584415584,0.0038961038961,0.0242424242424
Leech lattice,0.00372323921812,0.100527458889,0.00093080980453,0.0940117902575,3223,0.00651566863171,0.00775674837108,0.0338194228979,0.00124107973937,0.0183059261558
Lie sphere geometry,0.00454250486697,0.104044992429,0.00064892926671,0.0992861778066,4623,0.00367726584469,0.00800346095609,0.0385031364915,0.00259571706684,0.0272550292018
Line (geometry),0.00791249709099,0.113102164301,0.00186176402141,0.107284151734,4297,0.0048871305562,0.0111705841285,0.048871305562,0.00744705608564,0.025133814289
Line at infinity,0.0115303983229,0.116352201258,0.0,0.122641509434,954,0.00524109014675,0.0136268343816,0.0398322851153,0.0041928721174,0.0157232704403
List of circle topics,0.0,0.0289256198347,0.0,0.068870523416,726,0.00137741046832,0.0,0.00413223140496,0.00275482093664,0.0151515151515
List of interactive geometry software,0.00314795383001,0.0501573976915,0.001259181532,0.0514165792235,4765,0.00503672612802,0.00566631689402,0.0222455403987,0.000839454354669,0.0262329485834
List of triangle inequalities,0.00861344537815,0.0943277310924,0.0,0.0871848739496,4760,0.00210084033613,0.00861344537815,0.0201680672269,0.000210084033613,0.0310924369748
List of triangle topics,0.0,0.0199714693295,0.0,0.0656205420827,701,0.00142653352354,0.0,0.00285306704708,0.00142653352354,0.00855920114123
List of trigonometry topics,0.002886002886,0.012987012987,0.0,0.0894660894661,693,0.001443001443,0.004329004329,0.00721500721501,0.0,0.01443001443
Locus (mathematics),0.00335195530726,0.143016759777,0.00111731843575,0.102793296089,895,0.00111731843575,0.0100558659218,0.0435754189944,0.00223463687151,0.0178770949721
Mathematical morphology,0.00156298843389,0.0928415129728,0.00125039074711,0.0978430759612,3199,0.00437636761488,0.00625195373554,0.0396999062207,0.000312597686777,0.0393873085339
Mathematics,0.0040472544301,0.0635528330781,0.00196893458762,0.0976810325968,9142,0.00448479544957,0.00787573835047,0.0295340188143,0.00196893458762,0.0316123386567
Mathematics and fiber arts,0.00251046025105,0.0577405857741,0.0,0.0635983263598,1195,0.0,0.00585774058577,0.0209205020921,0.0,0.0259414225941
Matrix representation of conic sections,0.01259181532,0.124868835257,0.00104931794334,0.112277019937,953,0.0167890870934,0.00524658971668,0.0461699895068,0.00104931794334,0.0325288562434
Minkowski addition,0.0050831792976,0.0767097966728,0.00138632162662,0.0873382624769,2164,0.00462107208872,0.00739371534196,0.021719038817,0.000462107208872,0.014325323475
Minkowski space,0.00570913461538,0.0835336538462,0.00120192307692,0.0895432692308,3328,0.00450721153846,0.00811298076923,0.0387620192308,0.00300480769231,0.0189302884615
Minkowski's theorem,0.0081053698075,0.0840932117528,0.0,0.111448834853,987,0.00709219858156,0.0111448834853,0.0385005065856,0.00709219858156,0.0222897669706
Mirror image,0.00763941940413,0.136745607334,0.000763941940413,0.146676852559,1309,0.00916730328495,0.00534759358289,0.0381970970206,0.0061115355233,0.0305576776165
Monge's theorem,0.00341296928328,0.122866894198,0.0,0.107508532423,586,0.00170648464164,0.0221843003413,0.0324232081911,0.00341296928328,0.0170648464164
Mrs. Miniver's problem,0.010752688172,0.129032258065,0.00215053763441,0.109677419355,465,0.00860215053763,0.00645161290323,0.0408602150538,0.00430107526882,0.0258064516129
Möbius transformation,0.00628246949378,0.120816721034,0.000483266884137,0.107647698441,8277,0.00374531835206,0.00869880391446,0.0396278844992,0.00205388425758,0.0207804760179
N-sphere,0.00266134397871,0.115103127079,0.000665335994677,0.0998003992016,3006,0.00365934797073,0.00698602794411,0.0349301397206,0.000665335994677,0.0163007318696
Napkin ring problem,0.00202839756592,0.144016227181,0.0,0.135902636917,986,0.00608519269777,0.00101419878296,0.0304259634888,0.00709939148073,0.025354969574
Nine-point circle,0.00423131170663,0.134461683122,0.000470145745181,0.0954395862717,2127,0.00517160319699,0.0075223319229,0.0282087447109,0.000940291490362,0.0230371415139
Non-Euclidean geometry,0.00975127190503,0.0874788015828,0.000989259468626,0.103306953081,7076,0.00395703787451,0.00763143018655,0.0333521763708,0.00409836065574,0.0236009044658
Non-uniform rational B-spline,0.00505561172902,0.110616784631,0.00121334681496,0.104145601618,4945,0.00707785642063,0.00707785642063,0.0459049544995,0.00283114256825,0.0273003033367
Noncommutative geometry,0.00397702165267,0.0707026071586,0.00132567388422,0.101193106496,2263,0.00265134776845,0.00839593460009,0.0269553689792,0.00176756517897,0.0212107821476
Normal (geometry),0.0016501650165,0.162266226623,0.0016501650165,0.118261826183,1818,0.00660066006601,0.003300330033,0.0539053905391,0.0038503850385,0.018701870187
