,count added,count deleted,added - deleted,abs(added - deleted)
act,82.0,77.0,5.0,5.0
hebrew,67.0,62.0,5.0,5.0
lead,66.0,61.0,5.0,5.0
three,64.0,59.0,5.0,5.0
ignor,61.0,56.0,5.0,5.0
describ,58.0,53.0,5.0,5.0
without,46.0,41.0,5.0,5.0
into,44.0,39.0,5.0,5.0
mental,41.0,36.0,5.0,5.0
refer,37.0,32.0,5.0,5.0
r.,36.0,31.0,5.0,5.0
i.e,30.0,25.0,5.0,5.0
fact,27.0,32.0,-5.0,5.0
educ,20.0,15.0,5.0,5.0
system,19.0,14.0,5.0,5.0
2011,15.0,10.0,5.0,5.0
|date=,10.0,5.0,5.0,5.0
2014,8.0,3.0,5.0,5.0
realiz,218.0,214.0,4.0,4.0
true,211.0,207.0,4.0,4.0
psycholog,156.0,152.0,4.0,4.0
mani,154.0,150.0,4.0,4.0
you,154.0,150.0,4.0,4.0
categori,148.0,144.0,4.0,4.0
call,141.0,137.0,4.0,4.0
time,135.0,131.0,4.0,4.0
much,118.0,114.0,4.0,4.0
doe,115.0,111.0,4.0,4.0
new,113.0,109.0,4.0,4.0
will,111.0,107.0,4.0,4.0
name,104.0,100.0,4.0,4.0
oxford,102.0,98.0,4.0,4.0
way,101.0,97.0,4.0,4.0
well,100.0,96.0,4.0,4.0
perspect,98.0,94.0,4.0,4.0
ancient,96.0,92.0,4.0,4.0
conduct,93.0,89.0,4.0,4.0
fact|date=march,87.0,83.0,4.0,4.0
measur,87.0,83.0,4.0,4.0
see,87.0,83.0,4.0,4.0
import,86.0,82.0,4.0,4.0
ask,80.0,76.0,4.0,4.0
take,80.0,76.0,4.0,4.0
''dhammapada,79.0,75.0,4.0,4.0
especi,78.0,74.0,4.0,4.0
greek,76.0,72.0,4.0,4.0
consid,71.0,67.0,4.0,4.0
caus,65.0,61.0,4.0,4.0
been,64.0,60.0,4.0,4.0
scienc,62.0,58.0,4.0,4.0
inde,61.0,57.0,4.0,4.0
studi,59.0,55.0,4.0,4.0
mind,57.0,53.0,4.0,4.0
c.,56.0,52.0,4.0,4.0
acquir,55.0,51.0,4.0,4.0
creation,55.0,51.0,4.0,4.0
school,54.0,50.0,4.0,4.0
self,54.0,50.0,4.0,4.0
ed,52.0,48.0,4.0,4.0
increas,52.0,48.0,4.0,4.0
regard,51.0,47.0,4.0,4.0
robert,46.0,42.0,4.0,4.0
translat,46.0,42.0,4.0,4.0
scriptur,41.0,37.0,4.0,4.0
personifi,40.0,36.0,4.0,4.0
she,37.0,33.0,4.0,4.0
further,35.0,31.0,4.0,4.0
goddess,26.0,22.0,4.0,4.0
peac,26.0,22.0,4.0,4.0
cognit,24.0,20.0,4.0,4.0
latin,24.0,20.0,4.0,4.0
share,20.0,16.0,4.0,4.0
march,15.0,11.0,4.0,4.0
self-natur,15.0,11.0,4.0,4.0
needed|date=march,13.0,17.0,-4.0,4.0
behavior,12.0,8.0,4.0,4.0
neural,8.0,4.0,4.0,4.0
|publisher=,6.0,2.0,4.0,4.0
‘scientific-,6.0,10.0,-4.0,4.0
2015,5.0,1.0,4.0,4.0
life,308.0,305.0,3.0,3.0
thing,262.0,259.0,3.0,3.0
result,252.0,249.0,3.0,3.0
reason,230.0,227.0,3.0,3.0
experi,221.0,218.0,3.0,3.0
so,220.0,217.0,3.0,3.0
say,214.0,211.0,3.0,3.0
love,140.0,137.0,3.0,3.0
fear,133.0,130.0,3.0,3.0
begin,131.0,128.0,3.0,3.0
between,131.0,128.0,3.0,3.0
sen,126.0,123.0,3.0,3.0
i,124.0,121.0,3.0,3.0
theori,121.0,118.0,3.0,3.0
spiritu,116.0,113.0,3.0,3.0
year,115.0,112.0,3.0,3.0
we,114.0,111.0,3.0,3.0
come,110.0,107.0,3.0,3.0
evil,105.0,102.0,3.0,3.0
consist,99.0,96.0,3.0,3.0
if,98.0,95.0,3.0,3.0
justic,97.0,94.0,3.0,3.0
power,96.0,93.0,3.0,3.0
courag,92.0,89.0,3.0,3.0
mytholog,91.0,88.0,3.0,3.0
cultur,87.0,84.0,3.0,3.0
your,85.0,82.0,3.0,3.0
martin,83.0,80.0,3.0,3.0
natur,83.0,80.0,3.0,3.0
plato,83.0,80.0,3.0,3.0
aristotl,79.0,76.0,3.0,3.0
clear,79.0,76.0,3.0,3.0
world,73.0,70.0,3.0,3.0
associ,71.0,68.0,3.0,3.0
through,71.0,68.0,3.0,3.0
paul,68.0,65.0,3.0,3.0
gener,65.0,62.0,3.0,3.0
akin,63.0,60.0,3.0,3.0
anoth,62.0,59.0,3.0,3.0
csvperspect,60.0,57.0,3.0,3.0
roman,60.0,57.0,3.0,3.0
c,57.0,60.0,-3.0,3.0
involv,57.0,54.0,3.0,3.0
islam,56.0,53.0,3.0,3.0
both,52.0,49.0,3.0,3.0
2006,51.0,48.0,3.0,3.0
argu,51.0,48.0,3.0,3.0
drink,51.0,48.0,3.0,3.0
oneself,49.0,46.0,3.0,3.0
divin,48.0,45.0,3.0,3.0
achiev,45.0,42.0,3.0,3.0
depend,44.0,41.0,3.0,3.0
posse,44.0,41.0,3.0,3.0
where,44.0,41.0,3.0,3.0
literatur,43.0,40.0,3.0,3.0
such,42.0,39.0,3.0,3.0
vers,42.0,39.0,3.0,3.0
those,41.0,38.0,3.0,3.0
secular,36.0,33.0,3.0,3.0
8,34.0,31.0,3.0,3.0
grow,34.0,31.0,3.0,3.0
highest,34.0,31.0,3.0,3.0
unit,34.0,31.0,3.0,3.0
her,32.0,29.0,3.0,3.0
propos,32.0,29.0,3.0,3.0
de,28.0,25.0,3.0,3.0
manifest,26.0,23.0,3.0,3.0
properti,25.0,22.0,3.0,3.0
hinduism,24.0,21.0,3.0,3.0
coauthor,22.0,25.0,-3.0,3.0
surah,22.0,19.0,3.0,3.0
fiction,21.0,18.0,3.0,3.0
present,21.0,18.0,3.0,3.0
process,21.0,18.0,3.0,3.0
shaantih,21.0,18.0,3.0,3.0
futur,20.0,17.0,3.0,3.0
circumst,19.0,16.0,3.0,3.0
athena,18.0,15.0,3.0,3.0
dark,17.0,14.0,3.0,3.0
support,15.0,12.0,3.0,3.0
travel,15.0,12.0,3.0,3.0
===abraham,14.0,11.0,3.0,3.0
sapienc,14.0,11.0,3.0,3.0
d,13.0,16.0,-3.0,3.0
sentienc,13.0,10.0,3.0,3.0
quote|,11.0,8.0,3.0,3.0
wit,11.0,8.0,3.0,3.0
david,9.0,6.0,3.0,3.0
''sophia,8.0,5.0,3.0,3.0
16,8.0,5.0,3.0,3.0
buddhist,8.0,5.0,3.0,3.0
legess,8.0,5.0,3.0,3.0
trust|location=wilmett,6.0,3.0,3.0,3.0
bahá'í,4.0,1.0,3.0,3.0
proverbs|,4.0,1.0,3.0,3.0
|first=,4.0,1.0,3.0,3.0
r,2.0,5.0,-3.0,3.0
abraham,1.0,4.0,-3.0,3.0
"time,",1.0,4.0,-3.0,3.0
appli,218.0,216.0,2.0,2.0
applic,206.0,204.0,2.0,2.0
emot,204.0,202.0,2.0,2.0
discern,193.0,191.0,2.0,2.0
insight,187.0,185.0,2.0,2.0
''wisdom,174.0,172.0,2.0,2.0
event,174.0,172.0,2.0,2.0
isbn,150.0,148.0,2.0,2.0
term,148.0,146.0,2.0,2.0
prudenc,112.0,110.0,2.0,2.0
when,111.0,109.0,2.0,2.0
at,96.0,94.0,2.0,2.0
old,92.0,90.0,2.0,2.0
1,89.0,91.0,-2.0,2.0
belief,88.0,86.0,2.0,2.0
allah,86.0,84.0,2.0,2.0
definit,85.0,83.0,2.0,2.0
talk,82.0,80.0,2.0,2.0
bibl,80.0,78.0,2.0,2.0
scale,80.0,78.0,2.0,2.0
ani,78.0,76.0,2.0,2.0
journal,78.0,76.0,2.0,2.0
intuit,77.0,75.0,2.0,2.0
page,77.0,75.0,2.0,2.0
lord,76.0,74.0,2.0,2.0
social,76.0,74.0,2.0,2.0
becom,74.0,72.0,2.0,2.0
great,72.0,70.0,2.0,2.0
their,70.0,68.0,2.0,2.0
becaus,69.0,67.0,2.0,2.0
our,69.0,67.0,2.0,2.0
psychologist,68.0,66.0,2.0,2.0
capac,66.0,64.0,2.0,2.0
known,66.0,64.0,2.0,2.0
classic,65.0,63.0,2.0,2.0
find,64.0,62.0,2.0,2.0
mention,64.0,62.0,2.0,2.0
tradit,64.0,62.0,2.0,2.0
ethic,63.0,61.0,2.0,2.0
j,63.0,61.0,2.0,2.0
academ,62.0,60.0,2.0,2.0
than,61.0,59.0,2.0,2.0
could,60.0,58.0,2.0,2.0
e.,60.0,58.0,2.0,2.0
himself,58.0,56.0,2.0,2.0
addit,57.0,55.0,2.0,2.0
certain,57.0,55.0,2.0,2.0
accept,55.0,53.0,2.0,2.0
gift,55.0,53.0,2.0,2.0
implicit,55.0,53.0,2.0,2.0
more,55.0,53.0,2.0,2.0
celsu,54.0,52.0,2.0,2.0
citat,54.0,52.0,2.0,2.0
confuciu,53.0,51.0,2.0,2.0
heart,53.0,51.0,2.0,2.0
librari,53.0,51.0,2.0,2.0
muni,53.0,51.0,2.0,2.0
christ,52.0,50.0,2.0,2.0
made,52.0,50.0,2.0,2.0
part,52.0,50.0,2.0,2.0
think,52.0,50.0,2.0,2.0
foolish,51.0,49.0,2.0,2.0
project,50.0,48.0,2.0,2.0
seek,50.0,48.0,2.0,2.0
solomon,49.0,47.0,2.0,2.0
abl,48.0,46.0,2.0,2.0
howev,48.0,46.0,2.0,2.0
thought,48.0,46.0,2.0,2.0
four,46.0,44.0,2.0,2.0
guardian,46.0,44.0,2.0,2.0
origin,46.0,44.0,2.0,2.0
orwol,46.0,44.0,2.0,2.0
wisdom.,46.0,44.0,2.0,2.0
cardin,45.0,43.0,2.0,2.0
publish,45.0,43.0,2.0,2.0
|sophia,45.0,43.0,2.0,2.0
child,43.0,41.0,2.0,2.0
specif,43.0,41.0,2.0,2.0
―,43.0,41.0,2.0,2.0
age.,42.0,40.0,2.0,2.0
e,42.0,40.0,2.0,2.0
forc,42.0,40.0,2.0,2.0
nors,42.0,40.0,2.0,2.0
posit,42.0,40.0,2.0,2.0
|intuit,42.0,44.0,-2.0,2.0
commun,41.0,39.0,2.0,2.0
conceptu,41.0,39.0,2.0,2.0
handbook,41.0,39.0,2.0,2.0
mere,41.0,39.0,2.0,2.0
personif,41.0,39.0,2.0,2.0
seligman|seligman,41.0,39.0,2.0,2.0
variou,41.0,39.0,2.0,2.0
classif,40.0,38.0,2.0,2.0
correl,40.0,38.0,2.0,2.0
odin,40.0,38.0,2.0,2.0
transl,40.0,38.0,2.0,2.0
|charact,40.0,38.0,2.0,2.0
his/her,39.0,37.0,2.0,2.0
realli,39.0,37.0,2.0,2.0
promot,38.0,36.0,2.0,2.0
concept,37.0,35.0,2.0,2.0
student,37.0,35.0,2.0,2.0
along,36.0,34.0,2.0,2.0
apostl,36.0,34.0,2.0,2.0
inuit,36.0,34.0,2.0,2.0
similar,36.0,34.0,2.0,2.0
truth,35.0,33.0,2.0,2.0
shame,34.0,32.0,2.0,2.0
taoism,34.0,32.0,2.0,2.0
chine,33.0,31.0,2.0,2.0
indic,33.0,31.0,2.0,2.0
becam,32.0,30.0,2.0,2.0
conflict,32.0,30.0,2.0,2.0
data,32.0,30.0,2.0,2.0
death,32.0,30.0,2.0,2.0
edit,32.0,30.0,2.0,2.0
eye,31.0,29.0,2.0,2.0
republ,31.0,29.0,2.0,2.0
adult,30.0,28.0,2.0,2.0
me,30.0,28.0,2.0,2.0
emphas,29.0,27.0,2.0,2.0
47,28.0,26.0,2.0,2.0
within,28.0,26.0,2.0,2.0
2009,27.0,25.0,2.0,2.0
entir,27.0,25.0,2.0,2.0
offer,27.0,25.0,2.0,2.0
church,26.0,28.0,-2.0,2.0
confucian,26.0,24.0,2.0,2.0
nine,26.0,24.0,2.0,2.0
//www.foundationsmag.com/wisdom2.html,25.0,23.0,2.0,2.0
among,25.0,23.0,2.0,2.0
improv,25.0,23.0,2.0,2.0
newton,25.0,23.0,2.0,2.0
suffer,25.0,23.0,2.0,2.0
==notes==,24.0,22.0,2.0,2.0
after,24.0,22.0,2.0,2.0
cast,23.0,21.0,2.0,2.0
forese,23.0,21.0,2.0,2.0
account,22.0,20.0,2.0,2.0
behold,22.0,20.0,2.0,2.0
kjv,22.0,20.0,2.0,2.0
ye,21.0,19.0,2.0,2.0
//www.excaliburbooks.com,20.0,18.0,2.0,2.0
cours,20.0,18.0,2.0,2.0
criterion,20.0,18.0,2.0,2.0
en=4b4959cf047f61f,20.0,22.0,-2.0,2.0
ex=1336104000,20.0,22.0,-2.0,2.0
friend,20.0,18.0,2.0,2.0
hath,20.0,18.0,2.0,2.0
name=faulk,20.0,18.0,2.0,2.0
self-knowledg,20.0,18.0,2.0,2.0
wisdom==,20.0,18.0,2.0,2.0
blind,19.0,17.0,2.0,2.0
should,19.0,17.0,2.0,2.0
urg,19.0,17.0,2.0,2.0
σοφία,19.0,17.0,2.0,2.0
buddhism,18.0,16.0,2.0,2.0
desir,18.0,16.0,2.0,2.0
matter,18.0,16.0,2.0,2.0
order,18.0,16.0,2.0,2.0
unless,18.0,16.0,2.0,2.0
attain,17.0,15.0,2.0,2.0
except,17.0,15.0,2.0,2.0
respons,17.0,15.0,2.0,2.0
altern,16.0,14.0,2.0,2.0
conscious,16.0,14.0,2.0,2.0
file,16.0,14.0,2.0,2.0
matthew,16.0,14.0,2.0,2.0
under,16.0,14.0,2.0,2.0
===eastern,15.0,13.0,2.0,2.0
buddha|buddha,15.0,17.0,-2.0,2.0
i.e.,15.0,17.0,-2.0,2.0
parent,15.0,13.0,2.0,2.0
whether,15.0,13.0,2.0,2.0
yourself,15.0,13.0,2.0,2.0
biolog,14.0,12.0,2.0,2.0
dictionari,14.0,12.0,2.0,2.0
dr.,14.0,12.0,2.0,2.0
extern,14.0,12.0,2.0,2.0
group,14.0,12.0,2.0,2.0
kind,14.0,12.0,2.0,2.0
psalm,14.0,12.0,2.0,2.0
sapien,14.0,12.0,2.0,2.0
=2007|date=may,13.0,15.0,-2.0,2.0
faculti,13.0,11.0,2.0,2.0
function,13.0,11.0,2.0,2.0
maa,13.0,11.0,2.0,2.0
self-awar,13.0,11.0,2.0,2.0
speci,13.0,11.0,2.0,2.0
linnaeu,12.0,10.0,2.0,2.0
relationship,12.0,10.0,2.0,2.0
wherewith,12.0,10.0,2.0,2.0
|the,12.0,10.0,2.0,2.0
decid,11.0,9.0,2.0,2.0
obtain,11.0,9.0,2.0,2.0
complex,10.0,8.0,2.0,2.0
disposit,10.0,8.0,2.0,2.0
interpret,10.0,8.0,2.0,2.0
minerva,10.0,8.0,2.0,2.0
poison,10.0,8.0,2.0,2.0
quran,10.0,8.0,2.0,2.0
english,9.0,7.0,2.0,2.0
factor,9.0,7.0,2.0,2.0
kingdom,9.0,7.0,2.0,2.0
onto,9.0,7.0,2.0,2.0
2013,8.0,6.0,2.0,2.0
3:21-23,8.0,6.0,2.0,2.0
=2007|,8.0,6.0,2.0,2.0
=may,8.0,6.0,2.0,2.0
dynam,8.0,6.0,2.0,2.0
model,8.0,6.0,2.0,2.0
superior,8.0,6.0,2.0,2.0
''sapientia,7.0,5.0,2.0,2.0
dikw,7.0,9.0,-2.0,2.0
interperson,7.0,5.0,2.0,2.0
rel,7.0,5.0,2.0,2.0
represent,7.0,5.0,2.0,2.0
w.,7.0,5.0,2.0,2.0
_r=1,6.0,4.0,2.0,2.0
aug,6.0,4.0,2.0,2.0
eastern,6.0,8.0,-2.0,2.0
immortality.,6.0,4.0,2.0,2.0
light.,6.0,4.0,2.0,2.0
train,6.0,4.0,2.0,2.0
|qur'an,6.0,4.0,2.0,2.0
‘scientific-information’,6.0,4.0,2.0,2.0
0-521-36718-2,5.0,3.0,2.0,2.0
cn,5.0,3.0,2.0,2.0
edward,5.0,3.0,2.0,2.0
network,5.0,3.0,2.0,2.0
philosophy==,5.0,3.0,2.0,2.0
saper,5.0,3.0,2.0,2.0
20act,4.0,2.0,2.0,2.0
20doubt,4.0,2.0,2.0,2.0
20knowledg,4.0,2.0,2.0,2.0
book|last=browne|first=ʻabduʹl-bahá,4.0,2.0,2.0,2.0
compet,4.0,6.0,-2.0,2.0
corr,4.0,2.0,2.0,2.0
g.|title=a,4.0,2.0,2.0,2.0
j.|authorlink,4.0,2.0,2.0,2.0
jacob,4.0,2.0,2.0,2.0
narrative.|year=1980|publisher=bahá'i,4.0,2.0,2.0,2.0
publ,4.0,2.0,2.0,2.0
sternberg|titl,4.0,2.0,2.0,2.0
2005,3.0,1.0,2.0,2.0
august,3.0,1.0,2.0,2.0
bibleref|proverbs|8:13,3.0,5.0,-2.0,2.0
chokhmah,3.0,1.0,2.0,2.0
com,3.0,1.0,2.0,2.0
en,3.0,1.0,2.0,2.0
essenti,3.0,1.0,2.0,2.0
"greene,",3.0,1.0,2.0,2.0
"sense,",3.0,5.0,-2.0,2.0
sia,3.0,1.0,2.0,2.0
//en.wikipedia.org/wiki/,1.0,3.0,-2.0,2.0
"discernment,",1.0,3.0,-2.0,2.0
holman,542.0,543.0,-1.0,1.0
philosophi,251.0,250.0,1.0,1.0
includ,230.0,229.0,1.0,1.0
percept,197.0,196.0,1.0,1.0
keep,186.0,185.0,1.0,1.0
determin,184.0,183.0,1.0,1.0
principl,182.0,181.0,1.0,1.0
requir,176.0,175.0,1.0,1.0
situat,176.0,177.0,-1.0,1.0
control,170.0,169.0,1.0,1.0
optimum,169.0,168.0,1.0,1.0
passion,169.0,168.0,1.0,1.0
prevail,165.0,164.0,1.0,1.0
coupl,164.0,163.0,1.0,1.0
reaction,164.0,163.0,1.0,1.0
|passion,160.0,159.0,1.0,1.0
religion,124.0,123.0,1.0,1.0
claim,123.0,122.0,1.0,1.0
believ,105.0,104.0,1.0,1.0
first,101.0,100.0,1.0,1.0
exampl,98.0,99.0,-1.0,1.0
last,94.0,93.0,1.0,1.0
decis,88.0,89.0,-1.0,1.0
exist,88.0,87.0,1.0,1.0
sourc,81.0,80.0,1.0,1.0
gain,77.0,76.0,1.0,1.0
maxwel,76.0,75.0,1.0,1.0
research,76.0,75.0,1.0,1.0
3,74.0,73.0,1.0,1.0
veri,71.0,70.0,1.0,1.0
make,70.0,71.0,-1.0,1.0
perspectives==,68.0,67.0,1.0,1.0
opposit,67.0,66.0,1.0,1.0
follow,65.0,64.0,1.0,1.0
king,65.0,64.0,1.0,1.0
thu,65.0,64.0,1.0,1.0
moder,61.0,60.0,1.0,1.0
while,60.0,59.0,1.0,1.0
live,56.0,55.0,1.0,1.0
law,55.0,54.0,1.0,1.0
them,55.0,54.0,1.0,1.0
work,55.0,54.0,1.0,1.0
basic,54.0,53.0,1.0,1.0
nichola,54.0,53.0,1.0,1.0
just,50.0,49.0,1.0,1.0
help,49.0,48.0,1.0,1.0
brain,48.0,47.0,1.0,1.0
cathol,48.0,47.0,1.0,1.0
idea,48.0,47.0,1.0,1.0
optim,48.0,47.0,1.0,1.0
aim,47.0,46.0,1.0,1.0
overlap,47.0,46.0,1.0,1.0
//www.nick-maxwell.demon.co.uk,45.0,44.0,1.0,1.0
told,45.0,44.0,1.0,1.0
balt,44.0,43.0,1.0,1.0
br,43.0,42.0,1.0,1.0
even,43.0,42.0,1.0,1.0
particular,43.0,42.0,1.0,1.0
socrat,43.0,42.0,1.0,1.0
taught,43.0,42.0,1.0,1.0
technolog,43.0,42.0,1.0,1.0
accordingli,42.0,41.0,1.0,1.0
jesu,42.0,41.0,1.0,1.0
sternberg,42.0,41.0,1.0,1.0
subject,42.0,41.0,1.0,1.0
dialogu,41.0,40.0,1.0,1.0
distinct,41.0,40.0,1.0,1.0
reflect,41.0,40.0,1.0,1.0
balanc,40.0,39.0,1.0,1.0
date,40.0,41.0,-1.0,1.0
yet,40.0,39.0,1.0,1.0
christoph,39.0,38.0,1.0,1.0
perfect,39.0,38.0,1.0,1.0
statu,39.0,38.0,1.0,1.0
clayton,38.0,39.0,-1.0,1.0
corinthian,38.0,37.0,1.0,1.0
how,38.0,37.0,1.0,1.0
thoma,38.0,37.0,1.0,1.0
common,37.0,36.0,1.0,1.0
out,37.0,36.0,1.0,1.0
complet,36.0,35.0,1.0,1.0
fact|date=may,36.0,35.0,1.0,1.0
here,36.0,35.0,1.0,1.0
inquiri,36.0,35.0,1.0,1.0
ought,36.0,35.0,1.0,1.0
care,35.0,36.0,-1.0,1.0
creativ,35.0,34.0,1.0,1.0
establish,35.0,34.0,1.0,1.0
meti,35.0,34.0,1.0,1.0
son,35.0,34.0,1.0,1.0
chosen,34.0,33.0,1.0,1.0
constru,34.0,33.0,1.0,1.0
6,33.0,32.0,1.0,1.0
|meti,33.0,32.0,1.0,1.0
colleg,32.0,31.0,1.0,1.0
ecolog,32.0,31.0,1.0,1.0
hold,32.0,31.0,1.0,1.0
proverbs|proverb,32.0,33.0,-1.0,1.0
themselv,32.0,31.0,1.0,1.0
born,31.0,30.0,1.0,1.0
evid,31.0,30.0,1.0,1.0
know-how,31.0,30.0,1.0,1.0
popular,31.0,30.0,1.0,1.0
alon,30.0,29.0,1.0,1.0
bad,30.0,29.0,1.0,1.0
hard,30.0,29.0,1.0,1.0
knock,30.0,29.0,1.0,1.0
notion,30.0,29.0,1.0,1.0
1985,29.0,28.0,1.0,1.0
although,29.0,28.0,1.0,1.0
bitterest,29.0,28.0,1.0,1.0
brown,29.0,28.0,1.0,1.0
concret,29.0,28.0,1.0,1.0
consequ,29.0,28.0,1.0,1.0
contrast,29.0,28.0,1.0,1.0
endow,29.0,28.0,1.0,1.0
ident,29.0,28.0,1.0,1.0
turkey,29.0,28.0,1.0,1.0
two,29.0,28.0,1.0,1.0
49,28.0,27.0,1.0,1.0
crowd,28.0,27.0,1.0,1.0
ea,28.0,27.0,1.0,1.0
easiest,28.0,27.0,1.0,1.0
enki,28.0,27.0,1.0,1.0
imit,28.0,27.0,1.0,1.0
later,28.0,27.0,1.0,1.0
mythology|mesopotamian,28.0,27.0,1.0,1.0
night,28.0,27.0,1.0,1.0
noblest,28.0,27.0,1.0,1.0
number,28.0,27.0,1.0,1.0
own,28.0,27.0,1.0,1.0
restor,28.0,27.0,1.0,1.0
spirit,28.0,27.0,1.0,1.0
1:7,27.0,26.0,1.0,1.0
anguttara,27.0,26.0,1.0,1.0
bodili,27.0,26.0,1.0,1.0
discrimin,27.0,26.0,1.0,1.0
doesn’t,27.0,26.0,1.0,1.0
element,27.0,26.0,1.0,1.0
had,27.0,26.0,1.0,1.0
interv,27.0,26.0,1.0,1.0
lost,27.0,26.0,1.0,1.0
must,27.0,26.0,1.0,1.0
pleasant,27.0,26.0,1.0,1.0
seem,27.0,26.0,1.0,1.0
test,27.0,28.0,-1.0,1.0
unpleas,27.0,26.0,1.0,1.0
verbal,27.0,26.0,1.0,1.0
analys,26.0,25.0,1.0,1.0
arbitr,26.0,25.0,1.0,1.0
calm,26.0,25.0,1.0,1.0
case,26.0,25.0,1.0,1.0
clearli,26.0,25.0,1.0,1.0
commonli,26.0,25.0,1.0,1.0
composit,26.0,25.0,1.0,1.0
dhamma,26.0,25.0,1.0,1.0
efez,26.0,25.0,1.0,1.0
equit,26.0,25.0,1.0,1.0
famou,26.0,25.0,1.0,1.0
folk,26.0,25.0,1.0,1.0
found,26.0,25.0,1.0,1.0
free,26.0,25.0,1.0,1.0
gather,26.0,25.0,1.0,1.0
green,26.0,27.0,-1.0,1.0
hatr,26.0,25.0,1.0,1.0
held,26.0,25.0,1.0,1.0
language|greek,26.0,25.0,1.0,1.0
man.,26.0,25.0,1.0,1.0
man|sag,26.0,25.0,1.0,1.0
nonviol,26.0,25.0,1.0,1.0
p.,26.0,25.0,1.0,1.0
pair,26.0,25.0,1.0,1.0
quietud,26.0,25.0,1.0,1.0
righteous,26.0,25.0,1.0,1.0
righteous.,26.0,25.0,1.0,1.0
sage.,26.0,25.0,1.0,1.0
shrewd,26.0,25.0,1.0,1.0
shun,26.0,25.0,1.0,1.0
therebi,26.0,25.0,1.0,1.0
verili,26.0,25.0,1.0,1.0
wrong.,26.0,25.0,1.0,1.0
4,25.0,24.0,1.0,1.0
8:13,25.0,24.0,1.0,1.0
9:10,25.0,24.0,1.0,1.0
attribut,25.0,24.0,1.0,1.0
christianity|christian,25.0,26.0,-1.0,1.0
direct,25.0,24.0,1.0,1.0
final,25.0,24.0,1.0,1.0
freethought|freethink,25.0,26.0,-1.0,1.0
judaism|jewish,25.0,26.0,-1.0,1.0
liter,25.0,24.0,1.0,1.0
pain,25.0,24.0,1.0,1.0
poetic,25.0,24.0,1.0,1.0
build,24.0,23.0,1.0,1.0
creatur,24.0,23.0,1.0,1.0
deeper,24.0,23.0,1.0,1.0
father,24.0,23.0,1.0,1.0
godli,24.0,23.0,1.0,1.0
holi,24.0,23.0,1.0,1.0
